directory,filename,clean_path,benchmark_invariant,cpa_invariant,et_invariant,loopy_generated_invariant
code2inv,23.c,code2inv/23.c,(j == 13),,"j >= i; i + 2 * j == \at(i + 2 * j, Pre); i >= \at(i, Pre); j <= \at(j, Pre); i % 2 == \at(i % 2, Pre)"," 1 <= i;
 i <= 21;
 j <= 20;
 (i - 1) % 2 == 0;
 i % 2 == 1;
 i >= 1;
 1 <= i <= 21;
 0 <= j <= 20;
 j >= i - 2;
 20 >= j;
 j >= i ==> j + i >= 21;
 j >= 0;
 1 <= j;
 j == 20 - (i - 1)/2;
 1 <= i <= 20;
 1 <= j <= 20;
 (i % 2) == 1;
 0 <= j;
 j < i ==> j == 13;
 j >= i - 7;
 1 <= i && i <= 21;
 1 <= j && j <= 20;
 j >= i ==> i % 2 == 1"
code2inv,23.c,code2inv/23.c,(j == 13),,"j >= i; i + 2 * j == \at(i + 2 * j, Pre); i >= \at(i, Pre); j <= \at(j, Pre); i % 2 == \at(i % 2, Pre)"," 1 <= i;
 i <= 21;
 j <= 20;
 (i - 1) % 2 == 0;
 i % 2 == 1;
 i >= 1;
 1 <= i <= 21;
 0 <= j <= 20;
 j >= i - 2;
 20 >= j;
 j >= i ==> j + i >= 21;
 j >= 0;
 1 <= j;
 j == 20 - (i - 1)/2;
 1 <= i <= 20;
 1 <= j <= 20;
 (i % 2) == 1;
 0 <= j;
 j < i ==> j == 13;
 j >= i - 7;
 1 <= i && i <= 21;
 1 <= j && j <= 20;
 j >= i ==> i % 2 == 1"
code2inv,24.c,code2inv/24.c,(j == 6),,,
code2inv,25.c,code2inv/25.c,(x == 0),,x <= \old(x),"0 <= x <= 10000;
x >= 0"
code2inv,28.c,code2inv/28.c,(n < 0),,,
code2inv,29.c,code2inv/29.c,(x == 0),,," x <= n;
 n >= 0 ==> x >= 0;
 n < 0 ==> x == n"
code2inv,3.c,code2inv/3.c,z >= y,,,"0 <= x <= 5;
x >= 1 ==> z >= y"
code2inv,30.c,code2inv/30.c,(x == 0),,,"0 <= x <= 100;
x <= 100"
code2inv,30.c,code2inv/30.c,(x == 0),,,"0 <= x <= 100;
x <= 100"
code2inv,33.c,code2inv/33.c,(n < 0),,,
code2inv,34.c,code2inv/34.c,(x == 0),,,"x <= n;
n - x >= 0;
(n >= 0) ==> (x >= 0)"
code2inv,35.c,code2inv/35.c,(c >= 0),,,"0 <= c <= 40;
c != 40 ==> (c >= 0)"
code2inv,36.c,code2inv/36.c,(c <= 40),,,0 <= c <= 40
code2inv,37.c,code2inv/37.c,(c == 40),,,"0 <= c <= 40;
(c < 0 || c > 40) ==> (c == 40)"
code2inv,37.c,code2inv/37.c,(c == 40),,,"0 <= c <= 40;
(c < 0 || c > 40) ==> (c == 40)"
code2inv,37.c,code2inv/37.c,(c == 40),,,"0 <= c <= 40;
(c < 0 || c > 40) ==> (c == 40)"
code2inv,38.c,code2inv/38.c,c >= 0,Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,38.c,code2inv/38.c,c >= 0,Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,39.c,code2inv/39.c,c <= n,Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,39.c,code2inv/39.c,c <= n,Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,39.c,code2inv/39.c,c <= n,Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,4.c,code2inv/4.c,z >= y,,,"0 <= x <= 500;
(x > 0) ==> (y <= z)"
code2inv,40.c,code2inv/40.c,(c >= 0),,," c >= 0;
 n > 0"
code2inv,41.c,code2inv/41.c,(c <= n),,,"0 <= c && c <= n;
(c > n) ==> (c == n + 1);
(c == n) ==> (c == 1)"
code2inv,41.c,code2inv/41.c,(c <= n),,,"0 <= c && c <= n;
(c > n) ==> (c == n + 1);
(c == n) ==> (c == 1)"
code2inv,42.c,code2inv/42.c,(c == n),,, c >= 0
code2inv,43.c,code2inv/43.c,(n > -1),,,"c >= 0;
c <= n + 1;
n > 0;
(c > n) ==> (c == c + 1);
(c == n) ==> (c == 1)"
code2inv,43.c,code2inv/43.c,(n > -1),,,"c >= 0;
c <= n + 1;
n > 0;
(c > n) ==> (c == c + 1);
(c == n) ==> (c == 1)"
code2inv,44.c,code2inv/44.c,(c != n),,," c >= 0;
 n > 0;
 (c == n) ==> (c == 1)"
code2inv,44.c,code2inv/44.c,(c != n),,," c >= 0;
 n > 0;
 (c == n) ==> (c == 1)"
code2inv,45.c,code2inv/45.c,(c >= 0),Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"c >= 0;
n > 0;
c <= n"
code2inv,46.c,code2inv/46.c,(c <= n),Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,46.c,code2inv/46.c,(c <= n),Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,47.c,code2inv/47.c,(c == n),Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,48.c,code2inv/48.c,(n > -1),Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,49.c,code2inv/49.c,(c != n),Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,5.c,code2inv/5.c,z >= y,,, (x > 0) ==> (y <= z)
code2inv,50.c,code2inv/50.c,(c >= 0),,,0 <= c <= 4
code2inv,51.c,code2inv/51.c,(c <= 4),,,"c >= 0;
c <= 4"
code2inv,52.c,code2inv/52.c,(c == 4),,,"c >= 0;
c <= 4"
code2inv,53.c,code2inv/53.c,(c >= 0),,,"c >= 0;
n > 0"
code2inv,54.c,code2inv/54.c,(c <= n),,," 0 <= c;
 c <= n;
 c >= 0;
 c <= n + 1;
 (c == n) ==> (c == 1);
 0 <= c <= n + 1;
 n > 0;
 (c == 0) ==> (c <= n);
 (c > 0) ==> (c <= n + 1);
 (c == n) ==> (c > 0);
 (c == 1) ==> (c <= n);
 c == n ==> v1 == 0;
 c > n ==> v1 > 0"
code2inv,55.c,code2inv/55.c,(c == n),,," 0 <= c;
 n > 0"
code2inv,56.c,code2inv/56.c,(n <= -1),,,"0 <= c <= n + 1;
n > 0;
(c <= n) || (c == 1);
(c > n) ==> (c >= n + 1);
(c > n) ==> (c == n + 1);
c != n;"
code2inv,57.c,code2inv/57.c,(c != n),,,"0 <= c <= 2*n;
n > 0;
c <= n;
c != n;"
code2inv,58.c,code2inv/58.c,(c >= 0),Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,59.c,code2inv/59.c,(c <= n),Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c;
c <= n;
n > 0"
code2inv,6.c,code2inv/6.c,z >= y,,, (x > 0) ==> (z >= y)
code2inv,60.c,code2inv/60.c,(c == n),Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],,"0 <= c <= n;
n > 0"
code2inv,63.c,code2inv/63.c,y >= 0,Supporting invariants [1*main::x > 0],,"1 <= x <= 11;
x >= 2 ==> y >= 0;"
code2inv,64.c,code2inv/64.c,y < 10,Supporting invariants [1*main::x > 0],,"x == 1 || y == 10 - x + 1;
x == 1 || y < 10;"
code2inv,65.c,code2inv/65.c,y >= 0,Supporting invariants [1*main::x > 0],,
code2inv,66.c,code2inv/66.c,y < 100,Supporting invariants [1*main::x > 0],,
code2inv,67.c,code2inv/67.c,y >= 0,,,"x >= 1;
x == 1 || x <= n + 1;
x > 1 ==> y == n - (x - 1);
n < 0 ==> x == 1;"
code2inv,68.c,code2inv/68.c,y <= n,,, x > 1 ==> y < n
code2inv,69.c,code2inv/69.c,y >= 0,,,
code2inv,7.c,code2inv/7.c,(y != 0),,," x >= 0;
 y >= 0;
 x <= y + 10;
 y <= x + 10"
code2inv,70.c,code2inv/70.c,y < n,,,
code2inv,71.c,code2inv/71.c,(z >= 0),Supporting invariants [1*main::z > 0]; Supporting invariants [1*main::y > 0],,"0 <= c <= 36;
z == 36 * y + c;
c <= 36 ==> z >= 0"
code2inv,73.c,code2inv/73.c,(c >= 36),Supporting invariants [1*main::z > 0]; Supporting invariants [1*main::y > 0],z - c == \old(z) - \old(c); z >= \old(z); c >= \old(c); z - \old(z) == c - \old(c),"0 <= c <= 36;
z >= 36 * y;
(c < 36) ==> (z <= 36 * y + c)"
code2inv,74.c,code2inv/74.c,(z >= 0),Supporting invariants [1*main::z > 0]; Supporting invariants [1*main::y > 0],,"c >= 0;
y >= 0;
y >= 127;
z >= 36 * y;
c <= 36;
(c < 36) ==> (z == 36 * y + c)"
code2inv,76.c,code2inv/76.c,(c >= 36),Supporting invariants [1*main::z > 0]; Supporting invariants [1*main::y > 0],z - c == \old(z) - \old(c); z >= \old(z); c >= \old(c),"0 <= c <= 36;
z == 36 * y + c;
y >= 127"
code2inv,77.c,code2inv/77.c,(i < x),Supporting invariants []; Supporting invariants [-1*main::y + 1*main::x + 1 > 0],,"i >= 0;
i <= y;
x >= y"
code2inv,78.c,code2inv/78.c,(0 <= i),Supporting invariants []; Supporting invariants [-1*main::y + 1*main::x + 1 > 0],,"0 <= i;
i <= x;
x >= y;
x >= 0;
y >= 0"
code2inv,79.c,code2inv/79.c,(i >= y),Supporting invariants []; Supporting invariants [-1*main::y + 1*main::x + 1 > 0],,"i >= 0;
i <= y;
x >= y;
x >= 0;
y >= 0"
code2inv,8.c,code2inv/8.c,(x != 20),,,"x >= 0;
y >= 0;
x <= y + 10;
y <= x + 10"
code2inv,80.c,code2inv/80.c,(i < x),Supporting invariants []; Supporting invariants [-1*main::y + 1*main::x + 1 > 0],,"i >= 0;
i <= y;
x >= 0;
y >= 0;
x >= y"
code2inv,81.c,code2inv/81.c,(0 <= i),Supporting invariants []; Supporting invariants [-1*main::y + 1*main::x + 1 > 0],,"0 <= i;
i <= y;
y <= x"
code2inv,82.c,code2inv/82.c,(i >= y),Supporting invariants []; Supporting invariants [-1*main::y + 1*main::x + 1 > 0],y == \old(y); i >= \old(i); i <= y || i == \old(i),"0 <= i;
i <= y;
y <= x;
x >= 0"
code2inv,83.c,code2inv/83.c,(y > 0),,, x <= -5000 || (x >= -4999 && y >= 1)
code2inv,84.c,code2inv/84.c,(y > 0),,,
code2inv,85.c,code2inv/85.c,(y > 0),,,
code2inv,86.c,code2inv/86.c,(y > 0),,"2*x - y*(y - 1) == \at(2*x - y*(y - 1), Pre); y >= \at(y, Pre)",
code2inv,87.c,code2inv/87.c,(lock == 1),,,"x == y ==> lock == 1;
x != y ==> lock == 0"
code2inv,88.c,code2inv/88.c,(lock == 1),,,"x <= y;
lock == 0 || lock == 1;
lock == 1 ==> x == y;
lock == 0 ==> x < y"
code2inv,89.c,code2inv/89.c,(lock == 1),,,"0 <= lock <= 1;
lock == 1 ==> x == y;
lock == 0 ==> x == y - 1"
code2inv,9.c,code2inv/9.c,(y != 0),,x - y == \old(x) - \old(y)," x >= 0;
 y >= 0;
 (x == 4) ==> (y != 0)"
code2inv,90.c,code2inv/90.c,(lock == 1),,,"x <= y;
y <= x + 1;
(lock == 0) || (lock == 1);
(lock == 1) ==> (x == y);
(lock == 0) ==> (x < y)"
code2inv,91.c,code2inv/91.c,y>= 0,,,"x == 0;
y >= 0"
code2inv,92.c,code2inv/92.c,y>= 0,,,"x == 0;
y >= 0"
code2inv,93.c,code2inv/93.c,((3 * n) == (x + y)),,,"0 <= i <= n;
i <= x <= 2 * i;
i <= y <= 2 * i;
(3 * i) == (x + y)"
code2inv,94.c,code2inv/94.c,((i + (j + k)) > (2 * n)),,," 0 <= i && i <= n + 1;
 0 <= j;
 j >= i * (i - 1) / 2;
 i >= 0;
 j >= 0;
 j == (i * (i + 1)) / 2;
 i <= n + 1;
 k >= 0;
 n >= 0;
 0 <= i <= n + 1;
 j >= i * (i - 1) / 2 - n;
 0 <= i;
 0 <= k;
 0 <= n;
 0 <= i <= n+1;
 0 <= i && i <= n+1;
 i >= 1 ==> j >= i;
 i * (i - 1) <= 2 * j"
code2inv,95.c,code2inv/95.c,(i == j),,, j == i * y
code2inv,96.c,code2inv/96.c,(y != 1),,j - i * y == \old(j) - \old(i) * y; i >= \old(i); x == \old(x); y == \old(y),"i >= 0;
j >= 0;
y == 1;
j == i * y"
code2inv,97.c,code2inv/97.c,(i == j),,," j == 2 * i;
 y == 2"
code2inv,98.c,code2inv/98.c,(y != 1),,j - i * y == \old(j) - \old(i) * y; i >= \old(i); x == \old(x); y == \old(y),"0 <= i;
0 <= j;
y == 2;
j == 2 * i"
code2inv,99.c,code2inv/99.c,(n == (x + y)),,x + y == \old(x + y),"x >= 0;
y >= 0;
n == (x + y)"
LinearArbitrary-SeaHorn/invgen,bind_expands_vars2.c,LinearArbitrary-SeaHorn/invgen/bind_expands_vars2.c,cp1_off+mc_i < MAXDATA * 2,,," 0 <= mc_i;
 cp1_off + mc_i <= MAXDATA * 2;
 n1 <= MAXDATA * 2;
 cp1_off <= n1;
 n2 <= MAXDATA * 2 - n1"
LinearArbitrary-SeaHorn/invgen,bind_expands_vars2.c,LinearArbitrary-SeaHorn/invgen/bind_expands_vars2.c,cp1_off+mc_i < MAXDATA * 2,,," 0 <= mc_i;
 cp1_off + mc_i <= MAXDATA * 2;
 n1 <= MAXDATA * 2;
 cp1_off <= n1;
 n2 <= MAXDATA * 2 - n1"
LinearArbitrary-SeaHorn/invgen,gulwani_cegar1.c,LinearArbitrary-SeaHorn/invgen/gulwani_cegar1.c,x < 4,,," 0 <= x;
 0 <= y;
 x <= 2 * (y + 1)"
LinearArbitrary-SeaHorn/invgen,gulwani_cegar1.c,LinearArbitrary-SeaHorn/invgen/gulwani_cegar1.c,x < 4,,," 0 <= x;
 0 <= y;
 x <= 2 * (y + 1)"
LinearArbitrary-SeaHorn/invgen,gulwani_cegar2.c,LinearArbitrary-SeaHorn/invgen/gulwani_cegar2.c,0<=m,,," 0 <= x;
 0 <= m;
 m <= x;
 (n > 0 && x >= n) ==> (0 <= m && m < n)"
LinearArbitrary-SeaHorn/invgen,gulwani_cegar2.c,LinearArbitrary-SeaHorn/invgen/gulwani_cegar2.c,0<=m,,," 0 <= x;
 0 <= m;
 m <= x;
 (n > 0 && x >= n) ==> (0 <= m && m < n)"
LinearArbitrary-SeaHorn/invgen,gulwani_fig1a.c,LinearArbitrary-SeaHorn/invgen/gulwani_fig1a.c,y>0,,"2*x - y*(y - 1) == \at(2*x - y*(y - 1), Pre); y >= \at(y, Pre)", x >= 0 ==> y > 0
LinearArbitrary-SeaHorn/invgen,MADWiFi-encode_ie_ok.c,LinearArbitrary-SeaHorn/invgen/MADWiFi-encode_ie_ok.c,0<=p,,,
LinearArbitrary-SeaHorn/invgen,NetBSD_g_Ctoc.c,LinearArbitrary-SeaHorn/invgen/NetBSD_g_Ctoc.c,0 <= BASE_SZ-1,,,"0 <= i && i <= BASE_SZ;
0 <= j && j <= BASE_SZ;
i == j;
len == BASE_SZ - i"
LinearArbitrary-SeaHorn/invgen,NetBSD_g_Ctoc.c,LinearArbitrary-SeaHorn/invgen/NetBSD_g_Ctoc.c,0 <= BASE_SZ-1,,,"0 <= i && i <= BASE_SZ;
0 <= j && j <= BASE_SZ;
i == j;
len == BASE_SZ - i"
LinearArbitrary-SeaHorn/invgen,NetBSD_loop.c,LinearArbitrary-SeaHorn/invgen/NetBSD_loop.c,0 <= glob2_p_off,,,"glob2_p_off >= glob2_pathbuf_off;
glob2_pathlim_off == bound_off;
0 <= glob2_p_off;
glob2_p_off <= glob2_pathlim_off + 1;
glob2_p_off <= MAXPATHLEN + 1;
glob2_pathbuf_off == 0;
bound_off == MAXPATHLEN"
LinearArbitrary-SeaHorn/invgen,NetBSD_loop.c,LinearArbitrary-SeaHorn/invgen/NetBSD_loop.c,0 <= glob2_p_off,,,"glob2_p_off >= glob2_pathbuf_off;
glob2_pathlim_off == bound_off;
0 <= glob2_p_off;
glob2_p_off <= glob2_pathlim_off + 1;
glob2_p_off <= MAXPATHLEN + 1;
glob2_pathbuf_off == 0;
bound_off == MAXPATHLEN"
LinearArbitrary-SeaHorn/invgen,NetBSD_loop.c,LinearArbitrary-SeaHorn/invgen/NetBSD_loop.c,0 <= glob2_p_off,,,"glob2_p_off >= glob2_pathbuf_off;
glob2_pathlim_off == bound_off;
0 <= glob2_p_off;
glob2_p_off <= glob2_pathlim_off + 1;
glob2_p_off <= MAXPATHLEN + 1;
glob2_pathbuf_off == 0;
bound_off == MAXPATHLEN"
LinearArbitrary-SeaHorn/invgen,NetBSD_loop_int.c,LinearArbitrary-SeaHorn/invgen/NetBSD_loop_int.c,0 <= glob3_dc,,,"0 <= glob3_dc;
glob3_dc <= MAXPATHLEN;
glob3_pathbuf_off == 0;
glob3_pathend_off == 0;
glob3_pathlim_off == MAXPATHLEN;
glob3_pattern_off == 0"
LinearArbitrary-SeaHorn/invgen,NetBSD_loop_int.c,LinearArbitrary-SeaHorn/invgen/NetBSD_loop_int.c,0 <= glob3_dc,,,"0 <= glob3_dc;
glob3_dc <= MAXPATHLEN;
glob3_pathbuf_off == 0;
glob3_pathend_off == 0;
glob3_pathlim_off == MAXPATHLEN;
glob3_pattern_off == 0"
LinearArbitrary-SeaHorn/invgen,rajamani_1.c,LinearArbitrary-SeaHorn/invgen/rajamani_1.c,y>2,,,"0 <= x;
0 <= y;
0 <= z;
0 <= w;
y <= 100 * x;
z <= 10 * w;
z >= 100 * (x - w);
(x >= 4) ==> (y > 2)"
LinearArbitrary-SeaHorn/invgen,rajamani_1.c,LinearArbitrary-SeaHorn/invgen/rajamani_1.c,y>2,,,"0 <= x;
0 <= y;
0 <= z;
0 <= w;
y <= 100 * x;
z <= 10 * w;
z >= 100 * (x - w);
(x >= 4) ==> (y > 2)"
LinearArbitrary-SeaHorn/invgen,sendmail-close-angle.c,LinearArbitrary-SeaHorn/invgen/sendmail-close-angle.c,0<=buf,,," 0 <= buf;
 buf <= bufferlen;
 0 <= in;
 in <= inlen;
 buf == in || buf == in - 1;
 buflim == bufferlen - 2;
 buf <= buflim + 1;
 buf < bufferlen;
 buf <= in;
 (buf == buflim) ==> (in < inlen);
 in < inlen;
 buf - in <= 1;
 buf == in || buf == in + 1;
 buf == in;
 0 <= buf < bufferlen;
 0 <= in < inlen;
 buf <= buflim < bufferlen - 1;
 bufferlen > 1;
 inlen > 0;
 bufferlen < inlen;
 buf <= buflim;
 buf <= in <= buf + 1;
 0 <= buf <= buflim;
 0 <= in <= inlen;
 0 <= buf <= bufferlen;
 in >= buf"
LinearArbitrary-SeaHorn/invgen,sendmail-close-angle.c,LinearArbitrary-SeaHorn/invgen/sendmail-close-angle.c,0<=buf,,," 0 <= buf;
 buf <= bufferlen;
 0 <= in;
 in <= inlen;
 buf == in || buf == in - 1;
 buflim == bufferlen - 2;
 buf <= buflim + 1;
 buf < bufferlen;
 buf <= in;
 (buf == buflim) ==> (in < inlen);
 in < inlen;
 buf - in <= 1;
 buf == in || buf == in + 1;
 buf == in;
 0 <= buf < bufferlen;
 0 <= in < inlen;
 buf <= buflim < bufferlen - 1;
 bufferlen > 1;
 inlen > 0;
 bufferlen < inlen;
 buf <= buflim;
 buf <= in <= buf + 1;
 0 <= buf <= buflim;
 0 <= in <= inlen;
 0 <= buf <= bufferlen;
 in >= buf"
LinearArbitrary-SeaHorn/invgen,sendmail-close-angle.c,LinearArbitrary-SeaHorn/invgen/sendmail-close-angle.c,0<=buf,,," 0 <= buf;
 buf <= bufferlen;
 0 <= in;
 in <= inlen;
 buf == in || buf == in - 1;
 buflim == bufferlen - 2;
 buf <= buflim + 1;
 buf < bufferlen;
 buf <= in;
 (buf == buflim) ==> (in < inlen);
 in < inlen;
 buf - in <= 1;
 buf == in || buf == in + 1;
 buf == in;
 0 <= buf < bufferlen;
 0 <= in < inlen;
 buf <= buflim < bufferlen - 1;
 bufferlen > 1;
 inlen > 0;
 bufferlen < inlen;
 buf <= buflim;
 buf <= in <= buf + 1;
 0 <= buf <= buflim;
 0 <= in <= inlen;
 0 <= buf <= bufferlen;
 in >= buf"
LinearArbitrary-SeaHorn/invgen,sendmail-mime-fromqp.c,LinearArbitrary-SeaHorn/invgen/sendmail-mime-fromqp.c,0<=out,,,"0 <= nchar;
0 <= out;
out <= nchar;
nchar <= outfilelen;
out < outfilelen"
LinearArbitrary-SeaHorn/invgen,sendmail-mime-fromqp.c,LinearArbitrary-SeaHorn/invgen/sendmail-mime-fromqp.c,0<=out,,,"0 <= nchar;
0 <= out;
out <= nchar;
nchar <= outfilelen;
out < outfilelen"
LinearArbitrary-SeaHorn/invgen,sendmail-mime7to8_arr_three_chars_no_test_ok.c,LinearArbitrary-SeaHorn/invgen/sendmail-mime7to8_arr_three_chars_no_test_ok.c,0<=fb,,,"0 <= fb;
fb < fbuflen"
LinearArbitrary-SeaHorn/invgen,sendmail-mime7to8_arr_three_chars_no_test_ok.c,LinearArbitrary-SeaHorn/invgen/sendmail-mime7to8_arr_three_chars_no_test_ok.c,0<=fb,,,"0 <= fb;
fb < fbuflen"
LinearArbitrary-SeaHorn/invgen,simple.c,LinearArbitrary-SeaHorn/invgen/simple.c,x<=n,,,"0 <= x;
x <= n"
LinearArbitrary-SeaHorn/invgen,simple.c,LinearArbitrary-SeaHorn/invgen/simple.c,x<=n,,,"0 <= x;
x <= n"
LinearArbitrary-SeaHorn/invgen,simple_if.c,LinearArbitrary-SeaHorn/invgen/simple_if.c,i > 0,,,"1 <= i;
(m > 0) ==> i <= 2*i;
(m <= 0) ==> i <= 3*i"
LinearArbitrary-SeaHorn/invgen,simple_if.c,LinearArbitrary-SeaHorn/invgen/simple_if.c,i > 0,,,"1 <= i;
(m > 0) ==> i <= 2*i;
(m <= 0) ==> i <= 3*i"
LinearArbitrary-SeaHorn/invgen,split.c,LinearArbitrary-SeaHorn/invgen/split.c,i == j,,0 <= n && n <= 2*k; b ==> i == \old(i) + n; !b ==> i == \old(i),"0 <= n <= 2*k;
0 <= i <= k;
0 <= j <= k;
b == 0 ==> i == j;
b == 1 ==> i == j - 1;
n % 2 == 0 ==> b == 0;
n % 2 == 1 ==> b == 1;
i + j == n"
LinearArbitrary-SeaHorn/invgen,up-nested.c,LinearArbitrary-SeaHorn/invgen/up-nested.c,i>= 0,,,"i == 0;
k == 0;
j <= n+1"
LinearArbitrary-SeaHorn/invgen,up-nested.c,LinearArbitrary-SeaHorn/invgen/up-nested.c,i>= 0,,,"i == 0;
k == 0;
j <= n+1"
LinearArbitrary-SeaHorn/llreve,barthe2_merged_safe.c,LinearArbitrary-SeaHorn/llreve/barthe2_merged_safe.c,x2==x1+i1,,," 0 <= x1;
 0 <= x2;
 x1 <= x2;
 i2 == i1+1;
 x2 == x1 + i1"
LinearArbitrary-SeaHorn/llreve,barthe_merged_safe.c,LinearArbitrary-SeaHorn/llreve/barthe_merged_safe.c,j1 == j2,,," j2 == 5 * i + c;
 x1 == x2;
 x2 == (5 * i * (i - 1)) / 2 + c * i"
LinearArbitrary-SeaHorn/llreve,fib_merged_safe.c,LinearArbitrary-SeaHorn/llreve/fib_merged_safe.c,h2==h1+f1,,,
LinearArbitrary-SeaHorn/llreve,loop4_merged_safe.c,LinearArbitrary-SeaHorn/llreve/loop4_merged_safe.c,j1==j2,,," 0 <= j1 <= 2*i1;
 0 <= j2 <= 2*i2;
 (i1 < 2*n) ==> (j1 == i1);
 (i2 < n) ==> (j2 == 2*i2)"
LinearArbitrary-SeaHorn/loops/loop-invgen,MADWiFi-encode_ie_ok_true-unreach-call_true-termination.c,LinearArbitrary-SeaHorn/loops/loop-invgen/MADWiFi-encode_ie_ok_true-unreach-call_true-termination.c,0<=p,,"0 <= i; i <= ielen; bufsize == \at(bufsize, Pre); bufsize > 2; p == \at(p, Pre) + 2 * i; 0 <= p; p + 1 < \at(bufsize, Pre)",
LinearArbitrary-SeaHorn/loops/loop-invgen,NetBSD_loop_true-unreach-call_true-termination.c,LinearArbitrary-SeaHorn/loops/loop-invgen/NetBSD_loop_true-unreach-call_true-termination.c,0 <= glob2_p_off,,glob2_p_off >= glob2_pathbuf_off; glob2_p_off <= glob2_pathlim_off + 1; 0 <= glob2_p_off; glob2_p_off < MAXPATHLEN + 1," 0 <= glob2_p_off;
 glob2_pathbuf_off == 0;
 glob2_pathlim_off == MAXPATHLEN;
 1 <= MAXPATHLEN < 2147483647"
LinearArbitrary-SeaHorn/loops/loop-invgen,sendmail-close-angle_true-unreach-call_true-termination.c,LinearArbitrary-SeaHorn/loops/loop-invgen/sendmail-close-angle_true-unreach-call_true-termination.c,0<=buf,,," 0 <= buf;
 buf <= buflim + 1;
 buf < bufferlen;
 0 <= in;
 in <= inlen;
 buf <= in;
 in - buf <= buflim + 1;
 0 <= buf <= buflim + 1;
 0 <= in <= inlen;
 bufferlen > 1;
 inlen > 0;
 bufferlen < inlen;
 buflim == bufferlen - 2;
 in < inlen;
 buf <= buflim;
 buf <= bufferlen - 1;
 0 <= buf <= buflim < bufferlen - 1;
 buf - in <= buflim;
 buf <= buflim ==> buf <= in;
 buf - in <= 1;
 buf <= buflim ==> buf == in;
 buf > buflim ==> buf == buflim + 1;
 buf <= bufferlen;
 buf == bufferlen - 1 ==> buf == buflim;
 (buf == buflim) ==> (buf == in);
 0 <= buf <= buflim < bufferlen;
 0 <= in < inlen;
 buf == in"
LinearArbitrary-SeaHorn/loops/loop-lit,afnp2014_true-unreach-call_true-termination.c,LinearArbitrary-SeaHorn/loops/loop-lit/afnp2014_true-unreach-call_true-termination.c,x >= y,,,"0 <= y <= 1000;
x >= 1;
x >= y"
LinearArbitrary-SeaHorn/loops/loop-lit,bhmr2007_true-unreach-call_true-termination.c,LinearArbitrary-SeaHorn/loops/loop-lit/bhmr2007_true-unreach-call_true-termination.c,a + b == 3*n,Supporting invariants [-3*main::n + 4000000 >= 0],,"0 <= i && i <= n;
0 <= a && a <= 2 * i;
0 <= b && b <= 2 * i;
a + b == 3 * i"
LinearArbitrary-SeaHorn/loops/loop-lit,cggmp2005_true-unreach-call_true-termination.c,LinearArbitrary-SeaHorn/loops/loop-lit/cggmp2005_true-unreach-call_true-termination.c,j == 6,,," 1 <= i;
 i <= 10;
 j >= 0;
 j <= 10;
 i >= 1;
 i % 2 == 1;
 j >= i - 4;
 (j - i) % 3 == 0;
 0 <= j <= 10;
 1 <= j;
 1 <= i <= 11;
 i <= 1 + 2 * (10 - j);
 j >= 10 - (1 + (i - 1) / 2);
 10 >= j;
 0 <= (j - i + 1) % 2;
 (j >= i) ==> (j >= i - 2);
 j >= 1;
 6 <= j <= 10"
LinearArbitrary-SeaHorn/loops/loop-lit,cggmp2005_variant_true-unreach-call_true-termination.c,LinearArbitrary-SeaHorn/loops/loop-lit/cggmp2005_variant_true-unreach-call_true-termination.c,lo == hi,"Supporting invariants [1*main::mid + 2*main::lo > 0, -1000003*main::mid + 1000002*main::hi >= 0]",lo + mid == \old(lo + mid); hi - mid == \old(hi - mid); lo + hi == \old(lo + hi); mid >= 0,"lo >= 0;
mid >= 0;
hi >= 0;
hi == 2*mid + lo"
LinearArbitrary-SeaHorn/loops/loop-lit,css2003_true-unreach-call_true-termination.c,LinearArbitrary-SeaHorn/loops/loop-lit/css2003_true-unreach-call_true-termination.c,1 <= i + k && i + k <= 2 && i >= 1,,," 1 <= i && i <= LARGE_INT;
 i + k >= 1 && i + k <= 2"
