merge_key,GT,ET1_Label,ET1_Z3,ET2_Label,ET2_Z3,CPA_Pred,CPA_Raw
aaron3_false-no-overflow-simpl.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
aaron3_false-no-overflow-version.c,terminating,non-terminating,Failed: Not Bounded,error,,terminating,YES
aaron3_false-no-overflow.c,terminating,error,,error,,terminating,YES
aaron3_true-termination_true-valid-memsafety.c,terminating,non-terminating,Skipped,terminating,Failed: Not Decreasing,unknown,MAYBE
aviad_true-termination_true-no-overflow-broken1.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
aviad_true-termination_true-no-overflow-broken2.c,non-terminating,non-terminating,Skipped,terminating,Failed: Non-terminating cycle detected (2 -> 4 -> 6 -> 2),unknown,MAYBE
aviad_true-termination_true-no-overflow-version1.c,terminating,terminating,Skipped,terminating,Failed: Not Decreasing,unknown,MAYBE
aviad_true-termination_true-no-overflow-version2.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
aviad_true-termination_true-no-overflow-version3.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
aviad_true-termination_true-no-overflow.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
b.03-no-inv_assume_true-termination_true-no-overflow.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
b.10_true-termination_true-no-overflow.c,terminating,terminating,Failed: Not Decreasing,terminating,Verified,terminating,YES
b.11_true-termination_true-no-overflow-simpl.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
b.11_true-termination_true-no-overflow.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
c.07_true-termination_true-no-overflow-broken1.c,non-terminating,non-terminating,Failed: Not Decreasing,terminating,"Error: File ""/tmp/tmpw4zqvh3v.py"", line 153
    #
IndentationError: expected an indented block after 'if' statement on line 152...",unknown,MAYBE
c.07_true-termination_true-no-overflow-broken2.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
c.07_true-termination_true-no-overflow-simpl.c,terminating,terminating,Failed: Not Bounded,terminating,Failed: Not Decreasing,terminating,YES
c.07_true-termination_true-no-overflow.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
choices_dec_2.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
choices_dec_3.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
choices_dec_4.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
choices_div_1.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
choices_div_2.c,non-terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
choices_div_3.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: No Ranking Function Proposed,unknown,MAYBE
choices_eq_2.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
choices_eq_2_nondet.c,non-terminating,non-terminating,Skipped,non-terminating,Error: Unknown verification output...,non-terminating,NO
determ_nterm_1.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
determ_nterm_2.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: No Ranking Function Provided,unknown,MAYBE
determ_nterm_3.c,non-terminating,non-terminating,Failed: No Ranking Function Provided,non-terminating,Failed: Not Decreasing,non-terminating,NO
determ_nterm_4.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
determ_term_1.c,terminating,terminating,Failed: No Ranking Function Provided,terminating,Failed: Not Decreasing,terminating,YES
determ_term_2.c,terminating,terminating,Skipped,terminating,Failed: Not Decreasing,terminating,YES
determ_term_3.c,terminating,terminating,Skipped,non-terminating,Failed: Not Decreasing,unknown,TIMEOUT
determ_term_4.c,terminating,terminating,Skipped,terminating,"Error: Loop can terminate from some states.
No ranking function provided; termination cannot be verified....",terminating,YES
determ_term_5.c,terminating,terminating,Error: Unknown verification output...,terminating,Error: Unknown verification output...,unknown,TIMEOUT
determ_term_6.c,terminating,terminating,Error: Unknown verification output...,terminating,"Error: File ""/tmp/tmpaoewlkgh.py"", line 184
    solver3.add(loop_condition, invariants, transition, Not(ranking_function
                                                           ^
SyntaxError: '(' was neve...",unknown,MAYBE
determ_term_7.c,terminating,terminating,"Error: Traceback (most recent call last):
  File ""/tmp/tmpr5w1tq86.py"", line 62, in <module>
    solver_decrease.add(loop_condition, invariants, transition, Not(lex_decrease(R, R_next)))
  File ""/tmp/tmpr5w1...",terminating,Failed: Not Decreasing,unknown,MAYBE
determ_term_8.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not decreasing,unknown,MAYBE
eca_bounded_core.c,terminating,terminating,Verified,terminating,Verified,unknown,MAYBE
eca_core.c,non-terminating,non-terminating,Skipped,non-terminating,"Error: File ""/tmp/tmpr0f7m6o2.py"", line 198
    vars_i = Ints(f'a17_{i} a7
                  ^
SyntaxError: unterminated string literal (detected at line 198)...",unknown,MAYBE
ex1_false-no-overflow_true-termination.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
for_bounded_loop1_false-unreach-call_true-termination-simplified.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
genady_true-termination_true-no-overflow-version.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
genady_true-termination_true-no-overflow.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
java_AG313_true-termination_true-no-overflow.c,terminating,terminating,Verified,terminating,Verified,unknown,MAYBE
min_rf-alloca_true-termination.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
nonlin_choices_1.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
nonlin_choices_2.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
nonlin_div_nonterm_1.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
nonlin_div_nonterm_2.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
nonlin_div_term_1.c,terminating,terminating,Failed: Not Bounded,terminating,Failed: Not Bounded,unknown,MAYBE
nonlin_div_term_2.c,terminating,terminating,Failed: No Ranking Function Provided,terminating,Failed: Not Decreasing,non-terminating,NO
nonlin_jump_over_1_term.c,terminating,terminating,Failed: Not Decreasing,error,,unknown,MAYBE
nonlin_mod_nonterm_1.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
nonlin_mod_nonterm_2.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nonlin_mod_term_1.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
nonlin_mod_term_2.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
nonlin_mod_term_3.c,terminating,terminating,Error: Unknown verification output...,terminating,Failed: Invariants Not Inductive,unknown,MAYBE
nonlin_mod_term_4.c,terminating,terminating,Failed: Not Bounded,terminating,Failed: Not Bounded,terminating,YES
nonlin_mult_nonterm_1.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
nonlin_mult_nonterm_2.c,non-terminating,non-terminating,Failed: No ranking function provided,non-terminating,Failed: No ranking function provided and loop does not terminate,non-terminating,NO
nonlin_mult_nonterm_3.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Loop does not terminate (no valid ranking function exists),non-terminating,NO
nonlin_mult_nonterm_4.c,non-terminating,terminating,Skipped,terminating,Skipped,non-terminating,NO
nonlin_mult_nonterm_5.c,non-terminating,non-terminating,Failed: Not Terminating,non-terminating,Failed: Not Terminating,non-terminating,NO
nonlin_mult_nonterm_6.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: No Ranking Function Provided,non-terminating,NO
nonlin_mult_nonterm_7.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
nonlin_mult_term_1.c,terminating,terminating,Error: Unknown verification output...,terminating,Failed: x may not increase,non-terminating,NO
nonlin_mult_term_2.c,terminating,terminating,Skipped,terminating,Skipped,non-terminating,NO
nonlin_mult_term_3.c,terminating,terminating,Verified,terminating,"Error: File ""/tmp/tmpnp0sn819.py"", line 166
    # x starts > 1, y>1, z>1, so
IndentationError: expected an indented block after 'else' statement on line 37...",non-terminating,NO
nonlin_mult_term_4.c,terminating,terminating,Skipped,terminating,Failed: No Ranking Function Provided,non-terminating,NO
nonlin_mult_term_5.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,non-terminating,NO
nonlin_mult_term_6.c,terminating,terminating,Failed: Not Decreasing,terminating,Error: Unknown verification output...,non-terminating,NO
nonlin_mult_term_7.c,terminating,terminating,Skipped,terminating,Skipped,non-terminating,NO
nonlin_mult_term_8.c,terminating,terminating,Failed: No Ranking Function Provided,terminating,Skipped,non-terminating,NO
nonlin_mult_term_9.c,terminating,terminating,Skipped,terminating,Skipped,non-terminating,NO
nterm_01_cex.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: No Ranking Function Provided,non-terminating,NO
nterm_02_cex.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
nterm_03_cex.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
nterm_04_cex.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
nterm_05_cex.c,non-terminating,non-terminating,Failed: No Ranking Function Provided,non-terminating,"Error: Traceback (most recent call last):
  File ""/tmp/tmp17um467g.py"", line 101, in <module>
    solver2.add(loop_condition.subs([(x, x_next), (y, y_next), (z, z_next)]))
AttributeError: 'BoolRef' object ha...",unknown,MAYBE
nterm_06_cex.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
nterm_07_cex.c,non-terminating,non-terminating,Failed: Invariants Not Inductive,non-terminating,Failed: Not Bounded,non-terminating,NO
nterm_08_cex.c,non-terminating,terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nterm_09_cex.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
nterm_10_cex.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
nterm_11_cex.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Skipped,unknown,MAYBE
nterm_12_cex.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
nterm_13_cex.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
nterm_14_cex.c,non-terminating,non-terminating,Error: Unknown verification output...,non-terminating,Failed: Not Decreasing,non-terminating,NO
nterm_15_cex.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Terminating,non-terminating,NO
nterm_16_cex.c,non-terminating,non-terminating,Failed: Not Decreasing,error,,non-terminating,NO
nterm_17_cex.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
nterm_18_cex.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not decreasing,non-terminating,NO
nterm_19_cex.c,non-terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,non-terminating,NO
nterm_20_cex.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
nterm_21_cex.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nterm_22_cex.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nterm_23_cex.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nterm_24_cex.c,non-terminating,non-terminating,Failed: Not Bounded,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nterm_25_cex.c,non-terminating,non-terminating,Failed: Not Bounded,non-terminating,Failed: Not Bounded,non-terminating,NO
nterm_26_cex.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Bounded,non-terminating,NO
nterm_ever_01.c,non-terminating,non-terminating,Error: Unknown verification output...,non-terminating,Failed: No Ranking Function Provided,unknown,MAYBE
nterm_ever_02.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
nterm_ever_03.c,non-terminating,non-terminating,Failed: Not Bounded,non-terminating,Failed: Not Bounded,non-terminating,NO
nterm_ever_04.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nterm_ever_05.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nterm_ever_06.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
nterm_ever_07.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nterm_ever_08.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nterm_ever_09.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
nterm_ever_10.c,non-terminating,non-terminating,Error: Unknown verification output...,non-terminating,Failed: Loop does not terminate,non-terminating,NO
nterm_ever_11.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nterm_ever_12.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
nterm_ever_13.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,TIMEOUT
nterm_ever_14.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,unknown,MAYBE
nterm_ever_15.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Skipped,non-terminating,NO
nterm_ever_16.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Skipped,unknown,MAYBE
nterm_ever_17.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Skipped,non-terminating,NO
nterm_ever_18.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
term_01.c,terminating,terminating,Failed: Invariants Not Inductive,terminating,Failed: Not Bounded,terminating,YES
term_02.c,terminating,terminating,Verified,terminating,Skipped,unknown,FAILED
term_03.c,terminating,terminating,Failed: Not Bounded,terminating,Skipped,unknown,FAILED
term_04.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
term_05.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Terminating,unknown,MAYBE
term_06.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
term_07.c,terminating,terminating,Failed: Not Decreasing,terminating,Skipped,terminating,YES
term_08.c,terminating,terminating,Skipped,terminating,Skipped,terminating,YES
term_09.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Ranking function does not decrease,terminating,YES
term_10.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
term_11.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
term_12.c,terminating,terminating,Verified,terminating,Failed: Not Bounded,unknown,FAILED
term_13.c,terminating,terminating,Verified,terminating,Verified,unknown,MAYBE
term_14.c,terminating,terminating,Skipped,terminating,Skipped,unknown,MAYBE
term_15.c,terminating,terminating,Failed: Not Bounded,terminating,Failed: Not Decreasing,terminating,YES
term_16.c,terminating,error,,terminating,Error: Unknown verification output...,terminating,YES
term_17.c,terminating,terminating,Failed: Not Decreasing,terminating,Skipped,unknown,MAYBE
term_18.c,terminating,terminating,Skipped,terminating,Failed: Not Decreasing,unknown,MAYBE
term_19.c,terminating,terminating,Error: Unknown verification output...,terminating,Failed: Not Decreasing,unknown,MAYBE
term_20.c,terminating,terminating,Skipped,terminating,Failed: Not Decreasing,terminating,YES
term_21.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
term_22.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
term_23.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
term_24.c,terminating,terminating,Failed: Not Decreasing,error,,terminating,YES
term_25.c,terminating,terminating,Failed: Not Bounded,terminating,Failed: Invariants Not Inductive,terminating,YES
term_26.c,terminating,terminating,Skipped,terminating,Skipped,terminating,YES
term_27.c,terminating,terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,TIMEOUT
term_28.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
term_29.c,terminating,non-terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
transform_1.c,terminating,error,,non-terminating,Failed: Not Decreasing,terminating,YES
trex03_false-unreach-call_true-termination-modif.c,terminating,terminating,Failed: No Ranking Function Provided,terminating,Verified,terminating,YES
trex03_false-unreach-call_true-termination-simpl.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
trex03_false-unreach-call_true-termination.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
