file,result_2ls_SVComp_copy1,time_taken_2ls_SVComp_copy1,result_2ls_SVComp_copy3-2,time_taken_2ls_SVComp_copy3-2,consistency
SVComp_C/product-lines/email_spec0_product22.cil.c,Failed,1.64,Failed,1.1,True
SVComp_C/product-lines/minepump_spec4_product62.cil.c,Maybe,1.87,Maybe,1.84,True
SVComp_C/product-lines/elevator_spec3_product30.cil.c,TIMEOUT,300.13,TIMEOUT,385.11,True
SVComp_C/product-lines/elevator_spec3_product23.cil.c,TIMEOUT,300.11,TIMEOUT,899.76,True
SVComp_C/product-lines/elevator_spec14_product31.cil.c,TIMEOUT,300.07,TIMEOUT,575.0,True
SVComp_C/product-lines/email_spec27_product19.cil.c,Failed,1.64,Failed,146.74,True
SVComp_C/product-lines/minepump_spec2_product42.cil.c,Maybe,2.0,TIMEOUT,322.58,False
SVComp_C/product-lines/elevator_spec3_product26.cil.c,TIMEOUT,300.13,TIMEOUT,546.87,True
SVComp_C/product-lines/elevator_spec9_product32.cil.c,TIMEOUT,300.1,TIMEOUT,569.18,True
SVComp_C/product-lines/minepump_spec5_product41.cil.c,Maybe,1.89,Maybe,1.55,True
SVComp_C/product-lines/email_spec8_product34.cil.c,Failed,1.6,Failed,90.37,True
SVComp_C/product-lines/email_spec8_product22.cil.c,Failed,1.18,Failed,1.14,True
SVComp_C/product-lines/email_spec7_product35.cil.c,Failed,1.57,TIMEOUT,428.91,False
SVComp_C/product-lines/email_spec4_product24.cil.c,Failed,1.17,Failed,118.31,True
SVComp_C/product-lines/email_spec0_product10.cil.c,Failed,0.78,TIMEOUT,480.81,False
SVComp_C/product-lines/email_spec6_product28.cil.c,Failed,1.18,Failed,16.33,True
SVComp_C/product-lines/email_spec27_product23.cil.c,Failed,1.58,Failed,1.15,True
SVComp_C/product-lines/minepump_spec3_product55.cil.c,Maybe,2.69,Maybe,3.3,True
SVComp_C/product-lines/elevator_spec9_product31.cil.c,TIMEOUT,300.1,TIMEOUT,344.68,True
SVComp_C/product-lines/elevator_spec2_product21.cil.c,TIMEOUT,300.11,TIMEOUT,1543.25,True
SVComp_C/product-lines/minepump_spec5_product15.cil.c,Maybe,2.21,TIMEOUT,369.01,False
SVComp_C/product-lines/minepump_spec1_product40.cil.c,Maybe,2.54,TIMEOUT,405.23,False
SVComp_C/product-lines/email_spec27_product25.cil.c,Failed,1.58,TIMEOUT,902.15,False
SVComp_C/product-lines/minepump_spec1_product11.cil.c,Maybe,1.65,TIMEOUT,419.06,False
SVComp_C/product-lines/minepump_spec3_product31.cil.c,Maybe,1.95,TIMEOUT,1027.48,False
SVComp_C/product-lines/email_spec0_product38.cil.c,Failed,1.52,Failed,2.76,True
SVComp_C/product-lines/minepump_spec1_product64.cil.c,Maybe,2.32,TIMEOUT,301.02,False
SVComp_C/product-lines/email_spec0_product24.cil.c,Failed,1.11,TIMEOUT,451.42,False
SVComp_C/product-lines/email_spec4_product31.cil.c,Failed,1.13,TIMEOUT,761.56,False
SVComp_C/product-lines/minepump_spec4_product14.cil.c,Maybe,1.54,Maybe,1.57,True
SVComp_C/array-examples/standard_sentinel-2.c,Maybe,0.47,Maybe,0.5,True
SVComp_C/array-examples/sanfoundry_24-1.c,Failed,0.19,,,Miss
SVComp_C/array-examples/data_structures_set_multi_proc_trivial_ground.c,Failed,37.12,,,Miss
SVComp_C/array-examples/standard_vararg_ground.c,Failed,0.25,,,Miss
SVComp_C/reducercommutativity/max.c,Maybe,3.2,Maybe,3.53,True
SVComp_C/reducercommutativity/rangesum05.c,Maybe,1.79,Maybe,1.68,True
SVComp_C/reducercommutativity/max05-1.c,Maybe,1.2,Maybe,1.4,True
SVComp_C/reducercommutativity/rangesum10.c,Maybe,1.3,Maybe,1.02,True
SVComp_C/reducercommutativity/avg10-2.c,Maybe,1.26,Maybe,0.88,True
SVComp_C/reducercommutativity/sum10-1.c,Maybe,1.18,Maybe,0.85,True
SVComp_C/reducercommutativity/max10-1.c,Maybe,1.18,Maybe,1.14,True
SVComp_C/reducercommutativity/rangesum.c,Maybe,5.1,Maybe,5.56,True
SVComp_C/reducercommutativity/avg05-1.c,Maybe,1.21,Maybe,0.93,True
SVComp_C/reducercommutativity/sum05-2.c,Maybe,1.25,Maybe,0.94,True
SVComp_C/reducercommutativity/sep05-1.c,Maybe,1.14,Maybe,1.11,True
SVComp_C/reducercommutativity/sep.c,Maybe,2.66,Maybe,2.65,True
SVComp_C/loop-new/count_by_1.c,Failed,0.06,,,Miss
SVComp_C/loop-new/half.c,Failed,0.05,,,Miss
SVComp_C/loop-new/count_by_1_variant.c,Failed,0.04,,,Miss
SVComp_C/loop-new/gauss_sum.c,YES,0.2,YES,0.26,True
SVComp_C/loop-new/count_by_k.c,Failed,0.06,,,Miss
SVComp_C/loop-new/nested-1.c,YES,0.4,YES,0.45,True
SVComp_C/loop-new/count_by_nondet.c,Failed,0.05,,,Miss
SVComp_C/loop-new/count_by_2.c,Failed,0.05,,,Miss
SVComp_C/loop-acceleration/array_1-1.c,Failed,0.23,Failed,0.15,True
SVComp_C/loop-acceleration/array_3-2.c,Maybe,0.6,Maybe,0.39,True
SVComp_C/loop-acceleration/array_2-1-simple.c,Maybe,2.53,Maybe,2.91,True
SVComp_C/loop-acceleration/underapprox_1-2.c,Maybe,0.24,Maybe,0.15,True
SVComp_C/loop-acceleration/simple_3-1.c,Maybe,0.22,Maybe,0.14,True
SVComp_C/loop-acceleration/multivar_1-1.c,Maybe,0.24,Maybe,0.19,True
SVComp_C/loop-acceleration/underapprox_2-1.c,Maybe,0.16,Maybe,0.1,True
SVComp_C/loop-acceleration/array_4.c,Maybe,0.66,Maybe,0.42,True
SVComp_C/loop-acceleration/underapprox_2-2.c,YES,0.23,YES,0.15,True
SVComp_C/loop-acceleration/array_2-2.c,Failed,0.24,,,Miss
SVComp_C/loop-acceleration/simple_2-1.c,YES,0.14,YES,0.09,True
SVComp_C/loop-acceleration/functions_1-1.c,Maybe,0.42,Maybe,0.43,True
SVComp_C/loop-acceleration/array_1-2.c,Failed,0.25,Failed,0.16,True
SVComp_C/loop-acceleration/array_2-1.c,Failed,0.24,,,Miss
SVComp_C/loop-acceleration/underapprox_1-1.c,Maybe,0.26,Maybe,0.16,True
SVComp_C/loop-acceleration/phases_2-2.c,Maybe,0.25,Maybe,0.17,True
SVComp_C/loop-acceleration/functions_1-2.c,Maybe,0.39,Maybe,0.25,True
SVComp_C/loop-acceleration/array_2-2-simple.c,Maybe,3.21,Maybe,2.65,True
SVComp_C/loop-acceleration/phases_2-1.c,Maybe,0.19,Maybe,0.11,True
SVComp_C/loop-acceleration/simple_2-2.c,Maybe,0.13,Maybe,0.11,True
SVComp_C/loop-acceleration/array_3-1.c,YES,0.57,YES,0.37,True
SVComp_C/loop-acceleration/diamond_1-1.c,Maybe,0.21,Maybe,0.14,True
SVComp_C/loop-acceleration/multivar_1-2.c,Maybe,0.26,Maybe,0.17,True
SVComp_C/loop-acceleration/simple_3-2.c,Maybe,0.26,Maybe,0.18,True
SVComp_C/uthash-2.0.2/uthash_FNV_nondet_test3-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test4-3.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test8-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test1-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test10-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test9-2.c,Failed,0.03,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test2-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_nondet_test4-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test5-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test2-1.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_nondet_test1-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test9-1.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test5-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_nondet_test4-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test6-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test5-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_nondet_test1-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_nondet_test2-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test5-3.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test9-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_nondet_test2-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test10-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_nondet_test4-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_nondet_test2-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test7-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test10-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_nondet_test1-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test6-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_nondet_test2-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test9-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test7-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test1-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_nondet_test2-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test8-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test8-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test3-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_nondet_test1-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test10-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test5-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test2-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_nondet_test4-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test5-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test10-1.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test3-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test10-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test6-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test1-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test5-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test2-1.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test9-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test2-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test9-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test2-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_nondet_test3-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_nondet_test4-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test5-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test8-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test5-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test7-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test7-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test4-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test4-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_nondet_test1-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_nondet_test1-2.c,Failed,0.03,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test4-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test4-3.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test5-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test7-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test10-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test4-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_nondet_test4-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_nondet_test1-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test10-1.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test1-2.c,Failed,0.03,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test9-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test10-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test10-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test10-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_nondet_test4-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test9-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test4-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_nondet_test1-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_nondet_test4-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test3-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_nondet_test3-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test4-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test5-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_nondet_test2-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test6-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test5-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test4-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test7-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test6-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_nondet_test1-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_nondet_test3-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test8-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test4-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test7-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test7-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test8-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test7-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test10-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test10-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test1-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test5-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test2-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_nondet_test3-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test3-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test1-2.c,Failed,0.03,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_nondet_test4-1.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_nondet_test4-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test8-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_nondet_test3-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test6-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test10-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_nondet_test3-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test4-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test10-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_nondet_test4-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test10-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_nondet_test4-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test3-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test6-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_nondet_test2-2.c,Failed,0.03,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test5-2.c,Failed,0.03,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_nondet_test3-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test9-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test7-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test9-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test2-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_nondet_test4-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_nondet_test1-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test1-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test4-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_nondet_test2-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test5-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_nondet_test4-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test6-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test3-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_nondet_test3-2.c,Failed,0.03,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test6-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test4-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test1-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test8-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test3-1.c,Failed,0.03,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test4-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test5-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test3-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_nondet_test2-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_nondet_test3-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test1-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test6-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test9-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test2-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_nondet_test1-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test4-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test4-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test7-2.c,Failed,0.03,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test8-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test5-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test3-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_nondet_test4-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test8-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test8-1.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test4-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test3-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test2-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_nondet_test2-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test6-2.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test6-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_test3-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test3-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test5-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_nondet_test3-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_nondet_test3-1.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_SFH_nondet_test4-1.c,Failed,0.03,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test1-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test4-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test2-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test9-1.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test8-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test7-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_BER_test10-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_nondet_test2-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_nondet_test4-3.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_nondet_test1-1.c,Failed,0.05,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_test1-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_nondet_test2-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_SAX_test1-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_FNV_test2-1.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_OAT_nondet_test4-2.c,Failed,0.04,,,Miss
SVComp_C/uthash-2.0.2/uthash_JEN_test10-3.c,Failed,0.04,,,Miss
SVComp_C/termination-memory-linkedlists/cll_traverse-alloca.c,Maybe,0.65,Maybe,0.7,True
SVComp_C/termination-memory-linkedlists/ll_append_rec-alloca-2.c,YES,0.44,YES,0.38,True
SVComp_C/termination-memory-linkedlists/cll_search-alloca-2.c,Maybe,0.7,Maybe,0.55,True
SVComp_C/termination-memory-linkedlists/cll_by_lseg_traverse-alloca.c,Maybe,1.28,Maybe,1.25,True
SVComp_C/termination-memory-linkedlists/cll_by_lseg-alloca-2.c,YES,1.3,YES,0.91,True
SVComp_C/termination-memory-linkedlists/ll_append_rec-alloca-1.c,YES,1.25,YES,1.65,True
SVComp_C/termination-memory-linkedlists/ll_search_not_found-alloca.c,Maybe,0.79,Maybe,0.72,True
SVComp_C/termination-memory-linkedlists/ll_search-alloca.c,Maybe,1.3,Maybe,1.04,True
SVComp_C/termination-memory-linkedlists/nondet_ll_traverse-alloca.c,Maybe,0.77,Maybe,0.51,True
SVComp_C/termination-memory-linkedlists/ll_traverse-alloca.c,Maybe,0.74,Maybe,0.52,True
SVComp_C/termination-memory-linkedlists/cll_search-alloca-1.c,Maybe,0.69,Maybe,0.48,True
SVComp_C/termination-memory-linkedlists/ll_create_rec-alloca-1.c,YES,0.3,YES,0.29,True
SVComp_C/termination-memory-linkedlists/ll_create_rec-alloca-2.c,YES,0.56,YES,0.4,True
SVComp_C/termination-memory-linkedlists/ll_append-alloca-1.c,Maybe,1.22,Maybe,0.85,True
SVComp_C/termination-memory-linkedlists/nondet_ll_search-alloca-1.c,Maybe,0.81,Maybe,0.58,True
SVComp_C/termination-memory-linkedlists/ll_append-alloca-2.c,Maybe,0.31,Maybe,0.46,True
SVComp_C/termination-memory-linkedlists/nondet_ll_search-alloca-2.c,Maybe,0.94,Maybe,0.63,True
SVComp_C/recursive/Fibonacci02.c,Maybe,0.14,Maybe,0.38,True
SVComp_C/recursive/McCarthy91-1.c,Maybe,0.17,Maybe,0.12,True
SVComp_C/recursive/Fibonacci04.c,Maybe,0.16,Maybe,0.14,True
SVComp_C/recursive/EvenOdd01-1.c,TIMEOUT,300.03,TIMEOUT,302.24,True
SVComp_C/recursive/recHanoi03-2.c,Maybe,0.25,Maybe,0.17,True
SVComp_C/recursive/Fibonacci03.c,Maybe,0.18,Maybe,0.16,True
SVComp_C/recursive/MultCommutative-2.c,TIMEOUT,300.03,TIMEOUT,1499.9,True
SVComp_C/recursive/Addition02.c,Maybe,0.48,TIMEOUT,1043.63,False
SVComp_C/recursive/Addition01-2.c,Maybe,0.48,TIMEOUT,300.16,False
SVComp_C/recursive/gcd02.c,Maybe,0.45,TIMEOUT,666.03,False
SVComp_C/recursive/gcd01-1.c,Maybe,0.33,Maybe,203.71,True
SVComp_C/recursive/Primes.c,Maybe,1.5,Maybe,1.24,True
SVComp_C/recursive/McCarthy91-2.c,Maybe,0.16,Maybe,0.09,True
