Filename,Relative Path,Run ID,Date Time,Duration (s),LLM Calls,Label,RAG Similarity,Invariants,Ranking Function,Z3 Result,Report Path,Error,merge_key,Category,Category_GT,CPA_Verified,verification_result
benchmark40_polynomial.c,loop_invariants/sv-benchmarks/loop-zilu/benchmark40_polynomial.c,746d7234fa4d428484461c2d2de0ee22,2025-12-15T20:15:11.005072,86.56,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_201511_746d7234fa4d428484461c2d2de0ee22.json,,benchmark40_polynomial.c,loop_invariants,loop_invariants,False,UNKNOWN
benchmark52_polynomial.c,loop_invariants/sv-benchmarks/loop-zilu/benchmark52_polynomial.c,8d3d5f2311264ff09e4e22fe74e3960f,2025-12-15T20:16:26.827816,75.82,4.0,terminating,0.0,,10 - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_201626_8d3d5f2311264ff09e4e22fe74e3960f.json,,benchmark52_polynomial.c,loop_invariants,loop_invariants,,
benchmark23_conjunctive.c,loop_invariants/sv-benchmarks/loop-zilu/benchmark23_conjunctive.c,6cea894dcd694d799099dfcf73adcd3f,2025-12-15T20:17:51.992701,85.16,4.0,terminating,0.0,j - 2*i == \old(j) - 2*\old(i); j == \old(j) + 2*(i - \old(i)),100 - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_201751_6cea894dcd694d799099dfcf73adcd3f.json,,benchmark23_conjunctive.c,loop_invariants,loop_invariants,,
benchmark26_linear.c,loop_invariants/sv-benchmarks/loop-zilu/benchmark26_linear.c,55e2fcd89e184f98a386df7ab2f4eea9,2025-12-15T20:19:12.609719,80.62,4.0,terminating,0.0,y == \old(y); x >= \old(x),y - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_201912_55e2fcd89e184f98a386df7ab2f4eea9.json,,benchmark26_linear.c,loop_invariants,loop_invariants,,
benchmark27_linear.c,loop_invariants/sv-benchmarks/loop-zilu/benchmark27_linear.c,6ed820407db145f8bc0e4b08ca233d2a,2025-12-15T20:20:14.277316,61.67,4.0,terminating,0.0,j == \old(j); k - i == \old(k) - \old(i); i >= \old(i); k >= \old(k),j - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_202014_6ed820407db145f8bc0e4b08ca233d2a.json,,benchmark27_linear.c,loop_invariants,loop_invariants,,
benchmark36_conjunctive.c,loop_invariants/sv-benchmarks/loop-zilu/benchmark36_conjunctive.c,7a737aeb1bf0427c90c6f00f818be822,2025-12-15T20:21:37.109286,82.83,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_202137_7a737aeb1bf0427c90c6f00f818be822.json,,benchmark36_conjunctive.c,loop_invariants,loop_invariants,False,UNKNOWN
benchmark29_linear.c,loop_invariants/sv-benchmarks/loop-zilu/benchmark29_linear.c,2a0523ac87b84d97a532ec993f9492e0,2025-12-15T20:22:43.333995,66.22,4.0,terminating,0.0,y == \old(y); x >= \old(x); (x - \old(x)) % 100 == 0,y - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_202243_2a0523ac87b84d97a532ec993f9492e0.json,,benchmark29_linear.c,loop_invariants,loop_invariants,,
count_by_nondet.c,loop_invariants/sv-benchmarks/loop-new/count_by_nondet.c,0926c854e15d489aa27bc98173070574,2025-12-15T20:24:11.343047,88.01,4.0,terminating,0.0,,LARGE_INT - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_202411_0926c854e15d489aa27bc98173070574.json,,count_by_nondet.c,loop_invariants,loop_invariants,,
count_by_1_variant.c,loop_invariants/sv-benchmarks/loop-new/count_by_1_variant.c,9bf1b6ac71e84049a291e72e57952095,2025-12-15T20:25:37.461482,86.12,4.0,terminating,0.0,,LARGE_INT - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_202537_9bf1b6ac71e84049a291e72e57952095.json,,count_by_1_variant.c,loop_invariants,loop_invariants,,
count_by_k.c,loop_invariants/sv-benchmarks/loop-new/count_by_k.c,6b0cb94211ff4fe48cc19caf211fd2e1,2025-12-15T20:26:42.973819,65.51,4.0,terminating,0.0,,LARGE_INT - i / k,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_202642_6b0cb94211ff4fe48cc19caf211fd2e1.json,,count_by_k.c,loop_invariants,loop_invariants,,
gauss_sum.c,loop_invariants/sv-benchmarks/loop-new/gauss_sum.c,6effec89f0a643af87e06d281faa22eb,2025-12-15T20:27:37.732067,54.76,4.0,terminating,0.0,,n - i + 1,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_202737_6effec89f0a643af87e06d281faa22eb.json,,gauss_sum.c,loop_invariants,loop_invariants,,
count_by_1.c,loop_invariants/sv-benchmarks/loop-new/count_by_1.c,4caefda8821948a2b46505824af6d1de,2025-12-15T20:28:50.313194,72.58,4.0,terminating,0.0,,LARGE_INT - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_202850_4caefda8821948a2b46505824af6d1de.json,,count_by_1.c,loop_invariants,loop_invariants,,
half.c,loop_invariants/sv-benchmarks/loop-new/half.c,13d44d6a359548b99936b1651dd6b0f4,2025-12-15T20:30:10.111068,79.8,4.0,terminating,0.0,,2*k - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_203010_13d44d6a359548b99936b1651dd6b0f4.json,,half.c,loop_invariants,,,
count_by_2.c,loop_invariants/sv-benchmarks/loop-new/count_by_2.c,75304a1244ae4898a53cef16d40c5681,2025-12-15T20:31:13.880268,63.77,4.0,terminating,0.0,i >= 0; i % 2 == 0; i <= LARGE_INT,LARGE_INT - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_203113_75304a1244ae4898a53cef16d40c5681.json,,count_by_2.c,loop_invariants,loop_invariants,,
04.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/04.c,918bc3adedd7493d8f9714322c3ba841,2025-12-15T20:32:54.007164,100.13,5.0,non-terminating,0.0,,-x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_203254_918bc3adedd7493d8f9714322c3ba841.json,,04.c,loop_invariants,,,
22.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/22.c,9073ffb484b3448e814da77814612c8d,2025-12-15T20:35:09.500442,135.49,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_203509_9073ffb484b3448e814da77814612c8d.json,,22.c,loop_invariants,other,,
42.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/42.c,c53357f37c964bc6a665ba3912a62ddf,2025-12-15T20:36:36.291025,86.79,4.0,non-terminating,0.0,y == \old(y); x >= \old(x),,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_203636_c53357f37c964bc6a665ba3912a62ddf.json,,42.c,loop_invariants,other,,
13.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/13.c,b5dcf8c5aa734347b42b2657bd1a6abf,2025-12-15T20:37:52.657611,76.37,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_203752_b5dcf8c5aa734347b42b2657bd1a6abf.json,,13.c,loop_invariants,other,,
13.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/13.c,b5dcf8c5aa734347b42b2657bd1a6abf,2025-12-15T20:37:52.657611,76.37,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_203752_b5dcf8c5aa734347b42b2657bd1a6abf.json,,13.c,loop_invariants,other,,
39.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/39.c,1e0a506f41c24213be86b53e028f8ddb,2025-12-15T20:39:35.370503,102.71,4.0,terminating,0.0,,glob3_pathlim_off - (glob3_pathend_off + glob3_dc),Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_203935_1e0a506f41c24213be86b53e028f8ddb.json,,39.c,loop_invariants,other,False,FALSE
39.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/39.c,1e0a506f41c24213be86b53e028f8ddb,2025-12-15T20:39:35.370503,102.71,4.0,terminating,0.0,,glob3_pathlim_off - (glob3_pathend_off + glob3_dc),Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_203935_1e0a506f41c24213be86b53e028f8ddb.json,,39.c,loop_invariants,other,False,FALSE
39.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/39.c,1e0a506f41c24213be86b53e028f8ddb,2025-12-15T20:39:35.370503,102.71,4.0,terminating,0.0,,glob3_pathlim_off - (glob3_pathend_off + glob3_dc),Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_203935_1e0a506f41c24213be86b53e028f8ddb.json,,39.c,loop_invariants,other,False,FALSE
05.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/05.c,7f407c09246043fdb3b0239b89e6f7d3,2025-12-15T20:41:56.828024,141.46,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_204156_7f407c09246043fdb3b0239b89e6f7d3.json,,05.c,loop_invariants,other,False,UNKNOWN
05.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/05.c,7f407c09246043fdb3b0239b89e6f7d3,2025-12-15T20:41:56.828024,141.46,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_204156_7f407c09246043fdb3b0239b89e6f7d3.json,,05.c,loop_invariants,other,False,UNKNOWN
01.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/01.c,60b95c67740d48309ca97505550f9814,2025-12-15T20:43:25.393183,88.56,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_204325_60b95c67740d48309ca97505550f9814.json,,01.c,loop_invariants,other,,
41.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/41.c,690e6d97994f446aa1a142a711ba76ff,2025-12-15T20:44:47.796420,82.4,4.0,terminating,0.0,,n - i + 1,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_204447_690e6d97994f446aa1a142a711ba76ff.json,,41.c,loop_invariants,other,,
41.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/41.c,690e6d97994f446aa1a142a711ba76ff,2025-12-15T20:44:47.796420,82.4,4.0,terminating,0.0,,n - i + 1,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_204447_690e6d97994f446aa1a142a711ba76ff.json,,41.c,loop_invariants,other,,
23.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/23.c,57e7bb95dcff4c33bd1d7b96b9c2361f,2025-12-15T20:45:38.917712,51.12,4.0,terminating,0.0,0 <= i && i <= n; sum == i * (i - 1) / 2,n - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_204538_57e7bb95dcff4c33bd1d7b96b9c2361f.json,,23.c,loop_invariants,other,,
23.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/23.c,57e7bb95dcff4c33bd1d7b96b9c2361f,2025-12-15T20:45:38.917712,51.12,4.0,terminating,0.0,0 <= i && i <= n; sum == i * (i - 1) / 2,n - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_204538_57e7bb95dcff4c33bd1d7b96b9c2361f.json,,23.c,loop_invariants,other,,
18.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/18.c,751842ad1e6846b098acc476236daef2,2025-12-15T20:47:34.073032,115.16,5.0,terminating,0.0,0 <= b && b <= 100; flag == \old(flag); (flag ==> j == \old(j) + b) && (!flag ==> j == \old(j)); j >= \old(j),100 - b,"Error: Traceback (most recent call last):
  File ""/tmp/tmpks7z3zoz.py"", line 4, in <module>
    b, j, flag = Ints('b j')
ValueError: not enough values to unpack (expected 3, got 2)...",/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_204734_751842ad1e6846b098acc476236daef2.json,,18.c,loop_invariants,other,,
18.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/18.c,751842ad1e6846b098acc476236daef2,2025-12-15T20:47:34.073032,115.16,5.0,terminating,0.0,0 <= b && b <= 100; flag == \old(flag); (flag ==> j == \old(j) + b) && (!flag ==> j == \old(j)); j >= \old(j),100 - b,"Error: Traceback (most recent call last):
  File ""/tmp/tmpks7z3zoz.py"", line 4, in <module>
    b, j, flag = Ints('b j')
ValueError: not enough values to unpack (expected 3, got 2)...",/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_204734_751842ad1e6846b098acc476236daef2.json,,18.c,loop_invariants,other,,
30.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/30.c,20e7b9ebb19b4c28857f4692b5c4158c,2025-12-15T20:48:46.654671,72.58,4.0,terminating,0.0,0 <= i && i <= 1000; c == i * (i - 1) / 2; c >= 0,1000 - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_204846_20e7b9ebb19b4c28857f4692b5c4158c.json,,30.c,loop_invariants,other,,
30.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/30.c,20e7b9ebb19b4c28857f4692b5c4158c,2025-12-15T20:48:46.654671,72.58,4.0,terminating,0.0,0 <= i && i <= 1000; c == i * (i - 1) / 2; c >= 0,1000 - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_204846_20e7b9ebb19b4c28857f4692b5c4158c.json,,30.c,loop_invariants,other,,
46.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/46.c,5184d8a775a944d1bb2162518924b646,2025-12-15T20:50:11.336298,84.68,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205011_5184d8a775a944d1bb2162518924b646.json,,46.c,loop_invariants,other,False,FALSE
46.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/46.c,5184d8a775a944d1bb2162518924b646,2025-12-15T20:50:11.336298,84.68,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205011_5184d8a775a944d1bb2162518924b646.json,,46.c,loop_invariants,other,False,FALSE
07.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/07.c,0608eb153a734b2dac3605a6aca87f78,2025-12-15T20:51:31.859567,80.52,5.0,terminating,0.0,i == \old(i); n == \old(n); b - 2*a == \old(b) - 2*\old(a),n - i,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205131_0608eb153a734b2dac3605a6aca87f78.json,,07.c,loop_invariants,other,,
07.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/07.c,0608eb153a734b2dac3605a6aca87f78,2025-12-15T20:51:31.859567,80.52,5.0,terminating,0.0,i == \old(i); n == \old(n); b - 2*a == \old(b) - 2*\old(a),n - i,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205131_0608eb153a734b2dac3605a6aca87f78.json,,07.c,loop_invariants,other,,
16.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/16.c,f22a1b83936d4afc9e53bd21dbe5e867,2025-12-15T20:52:46.775104,74.92,5.0,non-terminating,0.0,x - y == \old(x) - \old(y),x,Failed: Not Bounded,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205246_f22a1b83936d4afc9e53bd21dbe5e867.json,,16.c,loop_invariants,other,,
16.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/16.c,f22a1b83936d4afc9e53bd21dbe5e867,2025-12-15T20:52:46.775104,74.92,5.0,non-terminating,0.0,x - y == \old(x) - \old(y),x,Failed: Not Bounded,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205246_f22a1b83936d4afc9e53bd21dbe5e867.json,,16.c,loop_invariants,other,,
15.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/15.c,447a5197e2064e189e343f1d43616647,2025-12-15T20:54:06.477959,79.7,4.0,terminating,0.0,"k + j == \at(k, Pre); 0 <= j && j <= n; k + j > n; k >= 0",n - j,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205406_447a5197e2064e189e343f1d43616647.json,,15.c,loop_invariants,other,,
15.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/15.c,447a5197e2064e189e343f1d43616647,2025-12-15T20:54:06.477959,79.7,4.0,terminating,0.0,"k + j == \at(k, Pre); 0 <= j && j <= n; k + j > n; k >= 0",n - j,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205406_447a5197e2064e189e343f1d43616647.json,,15.c,loop_invariants,other,,
02.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/02.c,51a21e74169246a3bfb92abd4492a19b,2025-12-15T20:55:43.587280,97.11,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205543_51a21e74169246a3bfb92abd4492a19b.json,,02.c,loop_invariants,other,False,FALSE
10.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/10.c,166cc79164f04f89be8a942375656d74,2025-12-15T20:57:10.118466,86.53,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205710_166cc79164f04f89be8a942375656d74.json,,10.c,loop_invariants,other,,
10.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/10.c,166cc79164f04f89be8a942375656d74,2025-12-15T20:57:10.118466,86.53,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205710_166cc79164f04f89be8a942375656d74.json,,10.c,loop_invariants,other,,
44.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/44.c,643d37637e4145af96dfe2cd78d04dec,2025-12-15T20:58:41.167823,91.05,5.0,terminating,0.0,,k - i,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205841_643d37637e4145af96dfe2cd78d04dec.json,,44.c,loop_invariants,other,,
44.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/44.c,643d37637e4145af96dfe2cd78d04dec,2025-12-15T20:58:41.167823,91.05,5.0,terminating,0.0,,k - i,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205841_643d37637e4145af96dfe2cd78d04dec.json,,44.c,loop_invariants,other,,
38.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/38.c,56d77e3ff1bf47e7a3151daab36d1c18,2025-12-15T20:59:47.138967,65.97,4.0,terminating,0.0,x == i; 2 * y <= i && i <= 2 * y + 1; 0 <= i && i <= n; 0 <= y,n - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205947_56d77e3ff1bf47e7a3151daab36d1c18.json,,38.c,loop_invariants,other,False,FALSE
38.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/38.c,56d77e3ff1bf47e7a3151daab36d1c18,2025-12-15T20:59:47.138967,65.97,4.0,terminating,0.0,x == i; 2 * y <= i && i <= 2 * y + 1; 0 <= i && i <= n; 0 <= y,n - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_205947_56d77e3ff1bf47e7a3151daab36d1c18.json,,38.c,loop_invariants,other,False,FALSE
21.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/21.c,1c855e18ce4f403aa6413be3a6064298,2025-12-15T21:00:41.947452,54.81,4.0,terminating,0.0,0 <= i && i <= n; n > 0 && n < 10; 2000 * i <= k && k <= 4000 * i; k % 2000 == 0,n - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210041_1c855e18ce4f403aa6413be3a6064298.json,,21.c,loop_invariants,other,,
20.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/20.c,1d316415f6a34445b7535218011e1659,2025-12-15T21:02:04.843173,82.9,4.0,terminating,0.0,,n - j,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210204_1d316415f6a34445b7535218011e1659.json,,20.c,loop_invariants,other,,
20.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/20.c,1d316415f6a34445b7535218011e1659,2025-12-15T21:02:04.843173,82.9,4.0,terminating,0.0,,n - j,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210204_1d316415f6a34445b7535218011e1659.json,,20.c,loop_invariants,other,,
08.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/08.c,11b248cb3e55459d9e4cd7c15569870e,2025-12-15T21:03:16.250884,71.41,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210316_11b248cb3e55459d9e4cd7c15569870e.json,,08.c,loop_invariants,other,,
19.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/19.c,a51aa5ea048f496bbc06066fb7551fc2,2025-12-15T21:05:08.404713,112.15,5.0,terminating,0.0,,n - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210508_a51aa5ea048f496bbc06066fb7551fc2.json,,19.c,loop_invariants,other,,
19.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/19.c,a51aa5ea048f496bbc06066fb7551fc2,2025-12-15T21:05:08.404713,112.15,5.0,terminating,0.0,,n - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210508_a51aa5ea048f496bbc06066fb7551fc2.json,,19.c,loop_invariants,other,,
19.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/19.c,a51aa5ea048f496bbc06066fb7551fc2,2025-12-15T21:05:08.404713,112.15,5.0,terminating,0.0,,n - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210508_a51aa5ea048f496bbc06066fb7551fc2.json,,19.c,loop_invariants,other,,
14.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/14.c,68eb689c18ff4df48217d281b64f72df,2025-12-15T21:06:25.678221,77.27,4.0,terminating,0.0,1 <= j && j <= m + 1; \abs(a - \old(a)) <= j - 1; (a - \old(a) - (j - 1)) % 2 == 0,m - j + 1,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210625_68eb689c18ff4df48217d281b64f72df.json,,14.c,loop_invariants,other,,
14.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/14.c,68eb689c18ff4df48217d281b64f72df,2025-12-15T21:06:25.678221,77.27,4.0,terminating,0.0,1 <= j && j <= m + 1; \abs(a - \old(a)) <= j - 1; (a - \old(a) - (j - 1)) % 2 == 0,m - j + 1,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210625_68eb689c18ff4df48217d281b64f72df.json,,14.c,loop_invariants,other,,
37.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/37.c,2bbcb79d1a8e43709a8f924accdb6284,2025-12-15T21:07:53.515576,87.84,5.0,terminating,0.0,x == \old(x); n == \old(n); m == \old(m) || m == x,n - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210753_2bbcb79d1a8e43709a8f924accdb6284.json,,37.c,loop_invariants,other,,
37.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/37.c,2bbcb79d1a8e43709a8f924accdb6284,2025-12-15T21:07:53.515576,87.84,5.0,terminating,0.0,x == \old(x); n == \old(n); m == \old(m) || m == x,n - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210753_2bbcb79d1a8e43709a8f924accdb6284.json,,37.c,loop_invariants,other,,
37.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/37.c,2bbcb79d1a8e43709a8f924accdb6284,2025-12-15T21:07:53.515576,87.84,5.0,terminating,0.0,x == \old(x); n == \old(n); m == \old(m) || m == x,n - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210753_2bbcb79d1a8e43709a8f924accdb6284.json,,37.c,loop_invariants,other,,
32.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/32.c,1edc363d70884adfad1c65581814b345,2025-12-15T21:09:10.246499,76.73,4.0,terminating,0.0,0 <= n && n <= 2 * k; b == 0 || b == 1; i + j == \old(i) + \old(j) + n; i - j + b == \old(i) - \old(j) + \old(b),2*k - n,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_210910_1edc363d70884adfad1c65581814b345.json,,32.c,loop_invariants,other,True,TRUE
11.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/11.c,4a1b171413f445b2822f161e8b714d20,2025-12-15T21:10:00.689783,50.44,4.0,terminating,0.0,j == \old(j) + 2 * i; 0 <= i && i <= x; x == \old(x),x - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_211000_4a1b171413f445b2822f161e8b714d20.json,,11.c,loop_invariants,other,,
11.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/11.c,4a1b171413f445b2822f161e8b714d20,2025-12-15T21:10:00.689783,50.44,4.0,terminating,0.0,j == \old(j) + 2 * i; 0 <= i && i <= x; x == \old(x),x - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_211000_4a1b171413f445b2822f161e8b714d20.json,,11.c,loop_invariants,other,,
43.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/43.c,dc4194a2f8ab4b60bbe7813c20b9e343,2025-12-15T21:11:25.462850,84.77,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_211125_dc4194a2f8ab4b60bbe7813c20b9e343.json,,43.c,loop_invariants,other,,
43.c,loop_invariants/LinearArbitrary-SeaHorn/pie/hola/43.c,dc4194a2f8ab4b60bbe7813c20b9e343,2025-12-15T21:11:25.462850,84.77,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_211125_dc4194a2f8ab4b60bbe7813c20b9e343.json,,43.c,loop_invariants,other,,
form22.c,loop_invariants/LinearArbitrary-SeaHorn/pie/ICE/benchmarks/form22.c,c8f163dd3059443293d0e6a4717bea06,2025-12-15T21:12:41.850094,76.39,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_211241_c8f163dd3059443293d0e6a4717bea06.json,,form22.c,loop_invariants,other,,
sum01_safe.v.c,loop_invariants/LinearArbitrary-SeaHorn/pie/ICE/benchmarks/sum01_safe.v.c,,2025-12-15T21:12:47.798673,,,error,,,,,,Embedding provider error: Connection error.,sum01_safe.v.c,loop_invariants,,True,TRUE
