filename,category,claude3.7_nonterm_type,claude3.7_avg_time,claude3.7_consistent,claude3.7_results,claude3.7_times,gpt-4o_nonterm_type,gpt-4o_avg_time,gpt-4o_consistent,gpt-4o_results,gpt-4o_times,gpt-o4-mini_nonterm_type,gpt-o4-mini_avg_time,gpt-o4-mini_consistent,gpt-o4-mini_results,gpt-o4-mini_times
NO_04.c,RECUR,RECUR,4.45,True,"('RECUR', 'RECUR', 'RECUR')","('4.33', '4.38', '4.64')",RECUR,0.98,False,"('OTHER', 'RECUR', 'RECUR')","('0.90', '0.69', '1.34')",DIVERGENT,9.73,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('7.09', '8.52', '13.57')"
NO_10.c,Divergent,DIVERGENT,4.43,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.38', '5.05', '3.87')",DIVERGENT,0.90,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.84', '1.00', '0.87')",DIVERGENT,7.26,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('6.21', '3.73', '11.85')"
NO_12.c,Divergent,DIVERGENT,6.38,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('7.24', '6.02', '5.89')",DIVERGENT,0.86,False,"('DIVERGENT', 'DIVERGENT', 'RECUR')","('0.72', '0.85', '1.01')",DIVERGENT,15.72,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('13.12', '16.10', '17.95')"
NO_13.c,RECUR,RECUR,4.73,True,"('RECUR', 'RECUR', 'RECUR')","('5.00', '4.99', '4.19')",RECUR,0.87,True,"('RECUR', 'RECUR', 'RECUR')","('0.82', '1.09', '0.69')",RECUR,8.17,True,"('RECUR', 'RECUR', 'RECUR')","('10.78', '9.75', '3.98')"
NO_21.c,RECUR,RECUR,4.78,True,"('RECUR', 'RECUR', 'RECUR')","('5.40', '4.79', '4.13')",RECUR,0.95,True,"('RECUR', 'RECUR', 'RECUR')","('1.25', '0.84', '0.77')",RECUR,8.65,True,"('RECUR', 'RECUR', 'RECUR')","('9.78', '8.91', '7.25')"
NO_22.c,RECUR,RECUR,4.90,True,"('RECUR', 'RECUR', 'RECUR')","('3.94', '6.07', '4.69')",RECUR,0.92,True,"('RECUR', 'RECUR', 'RECUR')","('0.73', '0.81', '1.22')",RECUR,7.27,True,"('RECUR', 'RECUR', 'RECUR')","('9.80', '6.08', '5.94')"
NO_23.c,RECUR,RECUR,4.70,True,"('RECUR', 'RECUR', 'RECUR')","('4.29', '5.48', '4.32')",RECUR,0.82,True,"('RECUR', 'RECUR', 'RECUR')","('0.90', '0.77', '0.80')",RECUR,6.27,True,"('RECUR', 'RECUR', 'RECUR')","('8.64', '4.86', '5.30')"
NO_24.c,RECUR,RECUR,5.77,True,"('RECUR', 'RECUR', 'RECUR')","('6.12', '6.14', '5.04')",RECUR,0.90,False,"('GEOMETRIC', 'RECUR', 'RECUR')","('0.76', '0.81', '1.12')",RECUR,9.06,True,"('RECUR', 'RECUR', 'RECUR')","('9.58', '8.40', '9.21')"
NarrowKonv.c,RECUR,RECUR,6.41,True,"('RECUR', 'RECUR', 'RECUR')","('6.34', '6.32', '6.56')",RECUR,0.94,True,"('RECUR', 'RECUR', 'RECUR')","('0.88', '1.04', '0.90')",RECUR,11.45,True,"('RECUR', 'RECUR', 'RECUR')","('12.35', '11.25', '10.76')"
Narrowing.c,RECUR,RECUR,3.96,True,"('RECUR', 'RECUR', 'RECUR')","('1.57', '4.81', '5.51')",RECUR,0.73,True,"('RECUR', 'RECUR', 'RECUR')","('0.72', '0.75', '0.72')",RECUR,28.04,True,"('RECUR', 'RECUR', 'RECUR')","('22.27', '35.39', '26.45')"
NestedRecursion_1a_false-termination.c,FunctionCall,RECUR,4.58,True,"('RECUR', 'RECUR', 'RECUR')","('5.48', '3.49', '4.76')",RECUR,0.83,True,"('RECUR', 'RECUR', 'RECUR')","('0.81', '0.82', '0.86')",RECUR,17.03,True,"('RECUR', 'RECUR', 'RECUR')","('19.63', '17.38', '14.08')"
NestedRecursion_2a_false-termination.c,FunctionCall,RECUR,2.87,True,"('RECUR', 'RECUR', 'RECUR')","('2.54', '4.21', '1.87')",RECUR,1.01,True,"('RECUR', 'RECUR', 'RECUR')","('1.07', '1.05', '0.91')",RECUR,11.68,True,"('RECUR', 'RECUR', 'RECUR')","('13.95', '8.97', '12.13')"
NestedRecursion_2b_false-termination.c,FunctionCall,RECUR,4.54,True,"('RECUR', 'RECUR', 'RECUR')","('5.10', '5.14', '3.38')",RECUR,0.93,True,"('RECUR', 'RECUR', 'RECUR')","('0.86', '1.01', '0.91')",RECUR,10.20,True,"('RECUR', 'RECUR', 'RECUR')","('12.07', '8.56', '9.96')"
NonTermination1_false-termination.c,Divergent,GEOMETRIC,3.70,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('3.35', '3.33', '4.41')",GEOMETRIC,0.79,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('0.77', '0.82', '0.79')",GEOMETRIC,5.70,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('4.67', '4.83', '7.62')"
NonTermination2_false-termination.c,Divergent,DIVERGENT,4.92,False,"('DIVERGENT', 'DIVERGENT', 'RECUR')","('4.71', '4.91', '5.15')",OTHER,0.87,False,"('OTHER', 'RECUR', 'OTHER')","('0.75', '0.86', '0.99')",GEOMETRIC,6.68,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('7.94', '6.33', '5.75')"
NonTermination4_false-termination.c,Divergent,GEOMETRIC,5.50,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('5.94', '5.42', '5.15')",GEOMETRIC,0.87,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('0.90', '0.90', '0.81')",GEOMETRIC,5.87,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('3.55', '5.40', '8.66')"
NonTerminationSimple2_false-termination.c,Divergent,DIVERGENT,5.01,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.36', '5.51', '5.17')",DIVERGENT,0.88,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.97', '0.77', '0.90')",DIVERGENT,6.16,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('7.14', '5.04', '6.29')"
NonTerminationSimple3_false-termination.c,Divergent,DIVERGENT,4.77,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.83', '4.54', '4.95')",DIVERGENT,1.05,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.86', '1.21', '1.08')",DIVERGENT,7.29,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.09', '6.99', '4.79')"
NonTerminationSimple4_false-termination.c,RECUR,DIVERGENT,4.02,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('3.84', '3.90', '4.33')",DIVERGENT,0.93,False,"('DIVERGENT', 'RECUR', 'DIVERGENT')","('1.24', '0.72', '0.82')",DIVERGENT,8.60,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.64', '8.57', '6.58')"
NonTerminationSimple5_false-termination.c,Other(Random),DIVERGENT,4.70,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('3.94', '4.39', '5.77')",RECUR,1.81,True,"('RECUR', 'RECUR', 'RECUR')","('0.68', '0.85', '3.89')",DIVERGENT,10.42,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('9.26', '12.08', '9.91')"
NonTerminationSimple6_false-termination.c,Divergent,DIVERGENT,4.11,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.42', '4.11', '3.80')",DIVERGENT,0.91,False,"('GEOMETRIC', 'DIVERGENT', 'DIVERGENT')","('0.93', '0.98', '0.82')",DIVERGENT,6.31,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.94', '6.91', '6.10')"
NonTerminationSimple7_false-termination.c,Divergent,RECUR,5.05,True,"('RECUR', 'RECUR', 'RECUR')","('5.28', '5.58', '4.28')",DIVERGENT,1.04,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('1.21', '0.90', '1.03')",DIVERGENT,7.03,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.03', '7.71', '8.34')"
NonTerminationSimple8_false-termination.c,Other(Random),DIVERGENT,5.37,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.44', '6.00', '4.69')",DIVERGENT,0.97,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('1.17', '0.92', '0.84')",DIVERGENT,8.93,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.87', '8.64', '12.28')"
NonTerminationSimple9_false-termination.c,Other(Random),OTHER,4.36,False,"('OTHER', 'RECUR', 'OTHER')","('4.10', '4.40', '4.58')",DIVERGENT,0.77,False,"('DIVERGENT', 'DIVERGENT', 'GEOMETRIC')","('0.74', '0.73', '0.84')",DIVERGENT,7.68,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.45', '7.55', '5.02')"
PastaC10.c,Other(Random),OTHER,6.63,False,"('OTHER', 'OTHER', 'RECUR')","('5.61', '5.36', '8.93')",OTHER,0.93,False,"('OTHER', 'DIVERGENT', 'GEOMETRIC')","('0.85', '0.84', '1.11')",DIVERGENT,15.64,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('21.80', '14.06', '11.07')"
Primes_true-unreach-call.c,FunctionCall,RECUR,5.01,True,"('RECUR', 'RECUR', 'RECUR')","('4.67', '5.45', '4.92')",RECUR,1.00,True,"('RECUR', 'RECUR', 'RECUR')","('0.87', '1.38', '0.74')",RECUR,17.13,False,"('RECUR', 'RECUR', 'OTHER')","('28.19', '13.43', '9.79')"
Problem02_label00_true-unreach-call.c,RECUR,RECUR,8.26,True,"('RECUR', 'RECUR', 'RECUR')","('8.19', '10.11', '6.47')",OTHER,1.12,False,"('OTHER', 'RECUR', 'OTHER')","('1.14', '1.22', '1.00')",RECUR,8.01,True,"('RECUR', 'RECUR', 'RECUR')","('6.10', '8.78', '9.14')"
RecursiveNonterminating_false-termination.c,FunctionCall,RECUR,4.35,True,"('RECUR', 'RECUR', 'RECUR')","('5.44', '4.04', '3.55')",RECUR,1.04,True,"('RECUR', 'RECUR', 'RECUR')","('1.16', '0.81', '1.16')",RECUR,21.17,True,"('RECUR', 'RECUR', 'RECUR')","('27.84', '20.99', '14.69')"
Rotation180_false-termination.c,RECUR,RECUR,9.05,True,"('RECUR', 'RECUR', 'RECUR')","('5.63', '6.99', '14.52')",RECUR,0.84,True,"('RECUR', 'RECUR', 'RECUR')","('0.78', '0.92', '0.81')",RECUR,8.05,True,"('RECUR', 'RECUR', 'RECUR')","('6.85', '9.21', '8.08')"
Singapore_plus_false-termination.c,GEOMETRIC,GEOMETRIC,7.12,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('7.25', '7.38', '6.74')",GEOMETRIC,0.95,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('1.09', '0.90', '0.87')",GEOMETRIC,12.70,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('12.39', '11.05', '14.67')"
Singapore_v1_false-termination.c,GEOMETRIC,GEOMETRIC,6.59,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('6.09', '7.39', '6.29')",GEOMETRIC,0.80,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('0.85', '0.74', '0.79')",GEOMETRIC,18.80,False,"('GEOMETRIC', 'GEOMETRIC', 'DIVERGENT')","('26.06', '14.09', '16.26')"
Singapore_v2_false-termination.c,GEOMETRIC,GEOMETRIC,7.04,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('6.62', '7.72', '6.78')",GEOMETRIC,0.93,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('0.89', '0.80', '1.10')",GEOMETRIC,16.18,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('13.83', '8.97', '25.72')"
Sunset.c,RECUR,RECUR,6.33,False,"('RECUR', 'RECUR', 'OTHER')","('6.76', '5.89', '6.35')",RECUR,1.07,True,"('RECUR', 'RECUR', 'RECUR')","('0.74', '1.48', '0.99')",RECUR,19.57,True,"('RECUR', 'RECUR', 'RECUR')","('17.59', '27.19', '13.94')"
Swingers.c,RECUR,RECUR,4.53,True,"('RECUR', 'RECUR', 'RECUR')","('3.47', '4.84', '5.27')",RECUR,1.07,False,"('RECUR', 'GEOMETRIC', 'RECUR')","('1.10', '1.19', '0.91')",RECUR,8.32,True,"('RECUR', 'RECUR', 'RECUR')","('7.82', '5.40', '11.72')"
TrueDiv.c,RECUR,DIVERGENT,4.10,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.00', '4.20', '4.10')",DIVERGENT,0.97,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.86', '0.98', '1.07')",DIVERGENT,11.33,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('17.91', '7.85', '8.24')"
TwoFloatInterv.c,RECUR,RECUR,6.96,True,"('RECUR', 'RECUR', 'RECUR')","('6.82', '7.15', '6.92')",RECUR,0.94,False,"('RECUR', 'RECUR', 'GEOMETRIC')","('1.10', '0.73', '1.00')",RECUR,23.92,True,"('RECUR', 'RECUR', 'RECUR')","('22.86', '24.60', '24.31')"
UpAndDown.c,RECUR,RECUR,7.15,True,"('RECUR', 'RECUR', 'RECUR')","('4.02', '11.77', '5.66')",RECUR,0.97,True,"('RECUR', 'RECUR', 'RECUR')","('1.25', '0.83', '0.83')",RECUR,7.58,True,"('RECUR', 'RECUR', 'RECUR')","('5.38', '6.22', '11.14')"
UpAndDownIneq.c,RECUR,RECUR,3.80,True,"('RECUR', 'RECUR', 'RECUR')","('5.97', '4.38', '1.04')",RECUR,2.92,False,"('RECUR', 'GEOMETRIC', 'RECUR')","('0.85', '0.74', '7.19')",RECUR,10.12,True,"('RECUR', 'RECUR', 'RECUR')","('10.05', '4.86', '15.46')"
Urban-WST2013-Fig1_false-termination.c,RECUR,RECUR,5.72,True,"('RECUR', 'RECUR', 'RECUR')","('7.05', '4.80', '5.30')",DIVERGENT,1.02,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('1.10', '1.19', '0.77')",DIVERGENT,8.32,False,"('DIVERGENT', 'DIVERGENT', 'RECUR')","('6.96', '9.83', '8.17')"
Velroyen_false-termination.c,RECUR,RECUR,4.99,True,"('RECUR', 'RECUR', 'RECUR')","('4.44', '4.78', '5.75')",RECUR,0.79,True,"('RECUR', 'RECUR', 'RECUR')","('0.86', '0.73', '0.79')",RECUR,11.47,True,"('RECUR', 'RECUR', 'RECUR')","('12.93', '10.81', '10.66')"
WhileIncr.c,Divergent,DIVERGENT,4.34,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('3.92', '5.67', '3.43')",DIVERGENT,0.94,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.90', '0.88', '1.03')",DIVERGENT,5.93,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.95', '5.93', '6.91')"
WhileIncrPart.c,Divergent,DIVERGENT,5.21,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.63', '5.69', '5.32')",DIVERGENT,0.81,False,"('GEOMETRIC', 'DIVERGENT', 'DIVERGENT')","('0.80', '0.76', '0.88')",DIVERGENT,8.12,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('7.27', '10.14', '6.97')"
WhileNested.c,Divergent,DIVERGENT,5.44,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.36', '5.53', '5.42')",OTHER,0.97,False,"('OTHER', 'DIVERGENT', 'RECUR')","('0.91', '1.27', '0.71')",DIVERGENT,8.98,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.97', '8.57', '7.39')"
WhileNestedOffset.c,Divergent,DIVERGENT,5.11,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.78', '4.59', '4.94')",RECUR,0.79,False,"('RECUR', 'OTHER', 'GEOMETRIC')","('0.69', '0.79', '0.89')",DIVERGENT,7.61,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.46', '10.21', '7.15')"
WhilePart.c,RECUR,RECUR,5.70,True,"('RECUR', 'RECUR', 'RECUR')","('5.97', '5.55', '5.57')",DIVERGENT,0.87,False,"('DIVERGENT', 'DIVERGENT', 'RECUR')","('1.05', '0.78', '0.78')",DIVERGENT,6.94,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.58', '7.73', '8.51')"
WhileSingle.c,RECUR,RECUR,4.78,True,"('RECUR', 'RECUR', 'RECUR')","('4.89', '4.03', '5.43')",DIVERGENT,0.87,False,"('RECUR', 'DIVERGENT', 'DIVERGENT')","('0.81', '0.96', '0.84')",RECUR,8.16,True,"('RECUR', 'RECUR', 'RECUR')","('7.42', '7.03', '10.02')"
WhileTrue.c,RECUR,DIVERGENT,3.90,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('3.26', '3.45', '4.99')",DIVERGENT,0.89,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.92', '0.94', '0.81')",DIVERGENT,4.61,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.53', '5.31', '3.98')"
WhileTrue_false-termination.c,RECUR,RECUR,2.41,False,"('RECUR', 'DIVERGENT', 'RECUR')","('2.78', '1.63', '2.82')",OTHER,0.83,True,"('OTHER', 'OTHER', 'OTHER')","('0.72', '0.93', '0.86')",OTHER,5.15,True,"('OTHER', 'OTHER', 'OTHER')","('4.60', '6.65', '4.22')"
bist_cell_true-unreach-call_false-termination.cil.c,FunctionCall,RECUR,8.22,True,"('RECUR', 'RECUR', 'RECUR')","('7.21', '7.42', '10.03')",RECUR,0.84,False,"('RECUR', 'GEOMETRIC', 'OTHER')","('0.79', '0.82', '0.90')",RECUR,21.82,True,"('RECUR', 'RECUR', 'RECUR')","('21.30', '12.47', '31.68')"
id2_b2_o3_true-unreach-call.c,FunctionCall,RECUR,5.75,True,"('RECUR', 'RECUR', 'RECUR')","('4.95', '5.43', '6.86')",RECUR,0.88,True,"('RECUR', 'RECUR', 'RECUR')","('0.90', '0.95', '0.78')",RECUR,11.21,True,"('RECUR', 'RECUR', 'RECUR')","('6.38', '6.90', '20.34')"
joey_false-termination.c,FunctionCall,RECUR,5.01,True,"('RECUR', 'RECUR', 'RECUR')","('5.49', '5.19', '4.35')",RECUR,0.93,True,"('RECUR', 'RECUR', 'RECUR')","('1.14', '0.81', '0.84')",RECUR,11.80,True,"('RECUR', 'RECUR', 'RECUR')","('13.41', '10.48', '11.51')"
mem_slave_tlm.1_true-unreach-call_false-termination.cil.c,FunctionCall,RECUR,7.53,True,"('RECUR', 'RECUR', 'RECUR')","('6.71', '8.52', '7.35')",OTHER,1.13,False,"('OTHER', 'GEOMETRIC', 'OTHER')","('1.19', '1.27', '0.92')",OTHER,12.27,False,"('OTHER', 'RECUR', 'OTHER')","('11.39', '15.16', '10.24')"
minepump_spec1_product01_true-unreach-call.cil.c,Other,RECUR,13.63,True,"('RECUR', 'RECUR', 'RECUR')","('14.47', '13.38', '13.03')",RECUR,2.71,False,"('RECUR', 'GEOMETRIC', 'OTHER')","('2.41', '4.47', '1.25')",DIVERGENT,9.83,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('6.52', '8.57', '14.42')"
pals_STARTPALS_ActiveStandby_false-unreach-call.1.ufo.BOUNDED-10.pals.c,FunctionCall,RECUR,7.93,False,"('RECUR', 'OTHER', 'RECUR')","('7.18', '10.05', '6.57')",OTHER,2.88,False,"('OTHER', 'RECUR', 'OTHER')","('6.57', '0.89', '1.18')",OTHER,14.69,False,"('OTHER', 'RECUR', 'OTHER')","('10.00', '14.04', '20.02')"
pals_STARTPALS_Triplicated_false-unreach-call.1.ufo.BOUNDED-10.pals.c,FunctionCall,RECUR,6.59,False,"('RECUR', 'DIVERGENT', 'OTHER')","('6.97', '5.90', '6.90')",RECUR,1.11,True,"('RECUR', 'RECUR', 'RECUR')","('1.07', '0.91', '1.34')",OTHER,11.66,False,"('RECUR', 'OTHER', 'OTHER')","('10.71', '14.25', '10.01')"
pals_floodmax.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,FunctionCall,DIVERGENT,7.60,False,"('DIVERGENT', 'RECUR', 'OTHER')","('8.61', '5.45', '8.73')",RECUR,1.33,False,"('RECUR', 'GEOMETRIC', 'OTHER')","('1.56', '1.49', '0.95')",OTHER,18.00,False,"('OTHER', 'DIVERGENT', 'OTHER')","('22.38', '19.50', '12.12')"
pals_lcr-var-start-time.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,FunctionCall,RECUR,6.13,False,"('RECUR', 'OTHER', 'RECUR')","('5.17', '6.89', '6.33')",OTHER,3.02,True,"('OTHER', 'OTHER', 'OTHER')","('1.71', '0.89', '6.44')",OTHER,14.99,True,"('OTHER', 'OTHER', 'OTHER')","('14.17', '17.85', '12.97')"
pals_lcr-var-start-time.6_false-unreach-call.1.ufo.BOUNDED-12.pals.c,FunctionCall,RECUR,8.53,False,"('RECUR', 'RECUR', 'DIVERGENT')","('7.31', '9.46', '8.81')",RECUR,1.08,False,"('RECUR', 'RECUR', 'OTHER')","('1.29', '0.85', '1.10')",OTHER,16.31,False,"('OTHER', 'OTHER', 'RECUR')","('10.28', '10.44', '28.22')"
pals_lcr.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,FunctionCall,RECUR,6.44,True,"('RECUR', 'RECUR', 'RECUR')","('6.76', '6.51', '6.03')",RECUR,2.57,False,"('OTHER', 'RECUR', 'RECUR')","('0.87', '0.97', '5.87')",DIVERGENT,16.28,False,"('OTHER', 'DIVERGENT', 'DIVERGENT')","('18.62', '17.24', '12.97')"
pals_lcr.8_false-unreach-call.1.ufo.BOUNDED-16.pals.c,FunctionCall,RECUR,6.81,True,"('RECUR', 'RECUR', 'RECUR')","('6.78', '8.64', '5.01')",RECUR,1.51,False,"('OTHER', 'RECUR', 'RECUR')","('2.56', '1.11', '0.84')",DIVERGENT,21.41,False,"('DIVERGENT', 'OTHER', 'RECUR')","('20.42', '28.00', '15.82')"
pals_opt-floodmax.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,FunctionCall,DIVERGENT,7.08,False,"('DIVERGENT', 'OTHER', 'RECUR')","('6.90', '8.55', '5.78')",OTHER,0.92,True,"('OTHER', 'OTHER', 'OTHER')","('0.92', '0.93', '0.90')",RECUR,20.95,False,"('OTHER', 'RECUR', 'RECUR')","('15.32', '26.02', '21.51')"
pc_sfifo_1_false-unreach-call_false-termination.cil.c,FunctionCall,RECUR,3.96,True,"('RECUR', 'RECUR', 'RECUR')","('5.63', '4.72', '1.53')",OTHER,1.61,False,"('RECUR', 'OTHER', 'OTHER')","('1.09', '1.03', '2.70')",RECUR,14.89,False,"('RECUR', 'RECUR', 'OTHER')","('18.10', '18.92', '7.66')"
s3_srvr_14_false-unreach-call.cil.c,FunctionCall,RECUR,7.59,True,"('RECUR', 'RECUR', 'RECUR')","('9.33', '5.23', '8.20')",RECUR,1.78,False,"('RECUR', 'RECUR', 'OTHER')","('1.22', '2.83', '1.28')",RECUR,11.69,True,"('RECUR', 'RECUR', 'RECUR')","('6.66', '13.90', '14.51')"
s3_srvr_1_false-unreach-call.cil.c,FunctionCall,RECUR,7.67,True,"('RECUR', 'RECUR', 'RECUR')","('7.36', '7.51', '8.15')",RECUR,4.06,True,"('RECUR', 'RECUR', 'RECUR')","('6.31', '1.23', '4.65')",RECUR,20.81,True,"('RECUR', 'RECUR', 'RECUR')","('19.91', '32.50', '10.04')"
stateful_check_false-unreach-call.c,FunctionCall,OTHER,5.78,True,"('OTHER', 'OTHER', 'OTHER')","('6.06', '6.88', '4.41')",OTHER,1.06,False,"('OTHER', 'OTHER', 'RECUR')","('0.87', '1.48', '0.84')",RECUR,11.66,True,"('RECUR', 'RECUR', 'RECUR')","('8.84', '15.01', '11.12')"
sum_non_eq_false-unreach-call.c,Divergent,RECUR,4.70,True,"('RECUR', 'RECUR', 'RECUR')","('5.50', '4.14', '4.45')",RECUR,1.78,True,"('RECUR', 'RECUR', 'RECUR')","('2.33', '1.92', '1.11')",RECUR,5.97,True,"('RECUR', 'RECUR', 'RECUR')","('5.04', '7.36', '5.51')"
svcomp_BradleyMannaSipma-2005CAV-Fig1-modified_false-termination.c,Divergent,RECUR,5.54,True,"('RECUR', 'RECUR', 'RECUR')","('6.03', '4.93', '5.66')",RECUR,0.88,True,"('RECUR', 'RECUR', 'RECUR')","('0.88', '0.83', '0.94')",RECUR,12.00,True,"('RECUR', 'RECUR', 'RECUR')","('9.34', '14.06', '12.61')"
svcomp_BradleyMannaSipma-2005ICALP-Fig1_true-alloca.c,Divergent,RECUR,4.92,True,"('RECUR', 'RECUR', 'RECUR')","('5.49', '4.90', '4.38')",DIVERGENT,1.24,False,"('DIVERGENT', 'RECUR', 'DIVERGENT')","('1.24', '0.85', '1.61')",RECUR,10.63,False,"('RECUR', 'RECUR', 'DIVERGENT')","('10.98', '8.15', '12.75')"
svcomp_HarrisLalNoriRajamani-2010SAS-Fig2_false-unreach-label-termination-alloca.c,RECUR,RECUR,5.80,True,"('RECUR', 'RECUR', 'RECUR')","('6.16', '5.62', '5.63')",DIVERGENT,1.17,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.95', '0.95', '1.60')",DIVERGENT,10.90,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('17.40', '9.06', '6.25')"
svcomp_PodelskiRybalchenko-2004VMCAI-Ex2_true-alloca.c,Divergent,DIVERGENT,5.04,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.81', '5.03', '5.30')",GEOMETRIC,1.05,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('1.04', '0.83', '1.29')",GEOMETRIC,11.82,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('3.84', '9.96', '21.64')"
svcomp_Urban-2013WST-Fig1_false-unreach-label-termination-alloca.c,RECUR,RECUR,5.81,True,"('RECUR', 'RECUR', 'RECUR')","('6.33', '6.02', '5.08')",GEOMETRIC,0.94,False,"('DIVERGENT', 'GEOMETRIC', 'GEOMETRIC')","('0.88', '1.03', '0.90')",DIVERGENT,7.41,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('7.24', '6.96', '8.03')"
svcomp_Velroyen_false-unreach-label-termination-alloca.c,RECUR,RECUR,6.17,True,"('RECUR', 'RECUR', 'RECUR')","('6.06', '6.31', '6.13')",RECUR,0.98,True,"('RECUR', 'RECUR', 'RECUR')","('0.84', '1.26', '0.82')",RECUR,11.29,True,"('RECUR', 'RECUR', 'RECUR')","('12.31', '9.56', '12.00')"
test_locks_15_true-unreach-call_false-termination.c,Other(Lock),RECUR,6.65,False,"('RECUR', 'RECUR', 'OTHER')","('7.35', '6.18', '6.44')",OTHER,5.07,False,"('OTHER', 'RECUR', 'OTHER')","('6.20', '1.64', '7.37')",OTHER,8.37,False,"('OTHER', 'OTHER', 'RECUR')","('11.84', '6.62', '6.63')"
