file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,CPA-lasso_result,CPA-lasso_time,CPA-general_result,CPA-general_time,AProVE-online24,Ultimate-online,AProVE-online25,MuVal-online,Ultimate0122_result,Ultimate0122_time_taken,ET+CPA,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type
svcomp_strchr_true-termination.c,failed,ERROR,MAYBE,0.21,FAILED,0.348279715,MAYBE,2.98,MAYBE,2.04,YES,MAYBE,YES,timeout,MAYBE,11.16,Unknown,Linear,1,1,2,False,False,True,True,True,39,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c,unknown,UNKNOWN,YES,0.18,YES,1.134034634,MAYBE,3.92,MAYBE,4.71,YES,YES,YES,YES,YES,3.75,Unknown,Linear,1,1,2,False,False,True,False,True,28,C,loop,
svcomp_a.01.c,failed,ERROR,YES,0.49,YES,1.790472984,YES,2.68,YES,3.52,YES,YES,YES,YES,YES,4.43,Terminate,Nested,2,2,2,False,False,True,False,False,19,C,loop,
MutualRecursion_1b_true-termination.c,,,FAILED,300.03,FAILED,19.46475506,MAYBE,2.12,FAILED,2.17,YES,timeout,YES,error,TIMEOUT,300.02,Unknown,,0,0,0,False,False,True,False,False,24,C,recur,non-tail
svcomp_a.07.c,failed,ERROR,YES,0.19,YES,2.04521656,YES,2.87,YES,3.88,YES,YES,YES,YES,YES,3.85,Terminate,Linear,1,1,2,False,False,True,False,True,16,C,loop,
desc_ll_search-ptrdiff_existing.c,unknown,UNKNOWN,FAILED,1.4,FAILED,0.471326828,MAYBE,10.27,MAYBE,10.22,YES,MAYBE,YES,error,MAYBE,3.03,Unknown,Multiple,2,1,3,False,False,True,False,True,45,C,loop,
svcomp_b.18.c,failed,"ERROR,TERMINATE",YES,0.38,YES,2.97145772,YES,4.3,YES,5.15,YES,YES,YES,YES,YES,3.86,Terminate,Nested,3,2,2,False,False,True,False,True,21,C,loop,
PastaA8.c,Terminate,TERMINATE,YES,0.18,YES,1.065699577,YES,2.85,MAYBE,273.45,YES,YES,YES,YES,YES,3.76,Terminate,Linear,1,1,2,False,False,True,False,False,17,C,loop,
MinusUserDefined.c,unknown,UNKNOWN,MAYBE,0.64,YES,14.13214779,YES,4.49,MAYBE,265.72,YES,YES,YES,YES,YES,4.31,Terminate,Nested,3,2,2,False,False,True,False,True,28,C,loop,
ColonSipma-TACAS2001-Fig1_true-termination.c,failed,ERROR,YES,0.34,YES,1.931527138,YES,3.05,YES,3.6,YES,YES,YES,YES,YES,4.05,Terminate,Linear,1,1,3,False,False,True,False,True,26,C,loop,
KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex_true-termination.c,unknown,UNKNOWN,YES,0.13,YES,1.669653416,YES,2.88,YES,3.45,YES,YES,YES,YES,YES,3.76,Terminate,Linear,1,1,1,False,False,True,False,False,22,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c,Terminate,TERMINATE,MAYBE,3.37,YES,2.826597691,YES,3.76,YES,160.83,YES,YES,YES,YES,YES,4.08,Terminate,Linear,1,1,3,False,False,True,False,True,31,C,loop,
svcomp_count_down_alloca.c,Terminate,TERMINATE,FAILED,0.25,FAILED,0.335786104,MAYBE,2.53,MAYBE,3.13,YES,MAYBE,YES,YES,TIMEOUT,300.07,Terminate,Nested,3,2,4,False,False,True,True,True,24,C,loop,
PastaB16.c,failed,ERROR,YES,0.2,YES,2.364196539,YES,3.26,YES,3.73,YES,YES,YES,YES,YES,4.02,Terminate,Nested,2,2,2,False,False,True,False,False,19,C,loop,
PastaB2.c,Terminate,TERMINATE,YES,0.19,YES,1.056160927,YES,2.91,YES,2.98,YES,YES,YES,YES,YES,3.72,Terminate,Linear,1,1,2,False,False,True,False,False,17,C,loop,
svcomp_c.01_assume.c,unknown,"TERMINATE,UNKNOWN",MAYBE,0.4,YES,2.692418337,YES,2.83,YES,3.3,YES,YES,YES,YES,YES,4.26,Terminate,Nested,2,2,2,False,False,True,False,True,21,C,loop,
svcomp_java_Break-alloca.c,Terminate,TERMINATE,FAILED,0.24,FAILED,0.467813969,MAYBE,2.44,MAYBE,2.57,YES,YES,YES,YES,YES,3.93,Terminate,Linear,1,1,0,True,True,True,False,True,15,C,loop,
min_rf_true-termination.c,unknown,UNKNOWN,MAYBE,1.69,YES,21.68191648,YES,3.41,YES,4.69,YES,YES,YES,YES,YES,9.33,Terminate,Linear,1,1,2,False,False,True,False,True,25,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c,Terminate,TERMINATE,MAYBE,0.63,YES,1.768894434,YES,2.62,YES,3.4,YES,YES,YES,YES,YES,3.81,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,
UrbanMine-ESOP2014-Fig3_true-termination.c,unknown,UNKNOWN,MAYBE,0.51,YES,154.2321348,YES,4.26,YES,5.34,YES,YES,YES,YES,YES,6.13,Terminate,Linear,1,1,2,False,False,True,False,True,31,C,loop,
email_spec0_product05_true-unreach-call.cil.c,failed,"ERROR,UNKNOWN",FAILED,0.78,FAILED,300.0,FAILED,46.7,FAILED,31.7,YES,timeout,YES,error,YES,7.09,Failed,Nested,4,2,0,False,True,True,False,True,3782,C,loop,
Mysore_true-termination.c,unknown,UNKNOWN,MAYBE,0.67,YES,1.878214598,YES,2.96,YES,3.3,YES,YES,YES,YES,YES,3.79,Terminate,Linear,1,1,2,False,False,True,False,False,23,C,loop,
svcomp_java_Sequence-alloca.c,failed,ERROR,FAILED,0.25,FAILED,0.468076229,MAYBE,3.48,MAYBE,3.98,YES,timeout,YES,YES,ERROR,47.22,Unknown,Multiple,2,1,2,False,False,True,False,True,12,C,loop,
svcomp_c.01-no-inv-alloca.c,Terminate,TERMINATE,FAILED,0.25,FAILED,0.474415541,MAYBE,4.13,MAYBE,4.65,YES,timeout,YES,YES,YES,54.63,Terminate,Nested,2,2,2,False,False,True,False,True,26,C,loop,
HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c,failed,ERROR,MAYBE,0.93,YES,99.72304583,YES,6.4,YES,8.72,YES,YES,YES,YES,YES,7.04,Terminate,Multiple,2,1,4,False,False,True,False,True,46,C,loop,
NoriSharma-FSE2013-Fig7_true-termination.c,unknown,UNKNOWN,MAYBE,8.89,YES,2.538049698,YES,3.72,MAYBE,265.97,YES,YES,YES,YES,YES,4.22,Terminate,Linear,1,1,4,False,False,True,False,False,29,C,loop,
ChawdharyCookGulwaniSagivYang-ESOP2008-random2d_true-termination.c,failed,ERROR,YES,0.31,YES,41.74072981,YES,2.84,YES,3.14,YES,YES,YES,YES,YES,3.88,Terminate,Linear,1,1,2,False,False,True,False,True,35,C,loop,
svcomp_min_rf_true-alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.471168995,MAYBE,2.95,MAYBE,3.08,YES,timeout,YES,YES,ERROR,117.38,Unknown,Linear,1,1,2,False,False,True,False,True,18,C,loop,
TerminatorRec02_true.c,,,YES,0.23,FAILED,0.323519468,MAYBE,2.14,FAILED,2.18,YES,YES,YES,YES,YES,3.82,Unknown,,0,0,0,False,False,True,False,True,35,C,recur,non-tail
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,unknown,UNKNOWN,MAYBE,1.25,YES,6.976073265,YES,24.69,YES,4.63,YES,YES,YES,YES,YES,4.72,Terminate,Linear,1,1,2,False,False,True,False,True,28,C,loop,
svcomp_b.13.c,failed,ERROR,YES,0.27,YES,17.28842139,YES,2.64,YES,3.26,YES,YES,YES,YES,YES,4.13,Terminate,Linear,1,1,2,False,False,True,False,False,23,C,loop,
svcomp_Avery-2006FLOPS-Tabel1_true-alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.46442914,MAYBE,6.62,MAYBE,5.17,YES,YES,YES,YES,YES,5.15,Unknown,Multiple,2,1,2,False,False,True,False,True,33,C,loop,
svcomp_c.03.c,failed,ERROR,YES,0.21,YES,1.885166883,YES,2.67,YES,3.79,YES,YES,YES,YES,YES,5.24,Terminate,Linear,1,1,2,False,False,True,False,False,21,C,loop,
PodelskiRybalchenko-TACAS2011-Fig1_true-termination.c,Terminate,TERMINATE,YES,0.11,YES,0.82054019,YES,2.75,YES,3.18,YES,YES,YES,YES,YES,3.73,Terminate,Linear,1,1,1,False,False,True,False,False,20,C,loop,
Pure2Phase_true-termination.c,unknown,UNKNOWN,MAYBE,0.48,YES,2.713484049,YES,3.35,YES,3.85,YES,YES,YES,YES,YES,4.65,Terminate,Linear,1,1,1,False,False,True,False,False,28,C,loop,
Cairo_true-termination.c,unknown,UNKNOWN,MAYBE,0.35,MAYBE,3.622193575,YES,2.89,YES,3.33,YES,YES,YES,YES,YES,3.93,Terminate,Linear,1,1,1,False,False,True,False,False,24,C,loop,
nondet_ll_search_zero.c,unknown,UNKNOWN,MAYBE,0.83,FAILED,0.464633942,MAYBE,3.89,MAYBE,3.99,YES,timeout,YES,timeout,MAYBE,19.18,Unknown,Multiple,2,1,6,False,False,True,False,True,37,C,loop,
svcomp_cstrchr_true_alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.470819235,MAYBE,3.02,MAYBE,2.89,YES,MAYBE,YES,timeout,MAYBE,11.74,Unknown,Linear,1,1,2,False,False,True,True,True,30,C,loop,
MinusMin.c,unknown,UNKNOWN,FAILED,300.05,YES,1.683344364,YES,2.41,YES,3.22,YES,YES,YES,YES,YES,4.79,Terminate,Linear,1,1,2,False,False,True,False,False,25,C,loop,
Urban-WST2013-Fig2_true-termination.c,unknown,UNKNOWN,YES,0.2,YES,2.092039585,YES,3.83,YES,4.59,YES,YES,YES,YES,YES,4.77,Terminate,Nested,2,2,2,False,False,True,False,False,27,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c,failed,ERROR,MAYBE,9.23,YES,1.758789063,MAYBE,3.05,MAYBE,3.73,YES,YES,YES,YES,YES,3.85,Unknown,Linear,1,1,2,True,False,True,False,True,33,C,loop,
svcomp_a.07-alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.486578941,MAYBE,4.88,MAYBE,4.34,YES,YES,YES,YES,YES,4.49,Unknown,Linear,1,1,2,False,False,True,False,True,25,C,loop,
Nyala-2lex_true-termination.c,unknown,UNKNOWN,YES,0.38,YES,4.262490988,YES,3.03,YES,3.43,YES,YES,YES,YES,YES,4.21,Terminate,Linear,1,1,1,True,False,True,False,False,26,C,loop,
960521-1_1_true-valid-memsafety.c,failed,ERROR,YES,2.43,NO,69.01438475,MAYBE,6.0,MAYBE,6.07,MAYBE,YES,MAYBE,error,YES,4.92,Unknown,Nested,3,2,3,False,False,True,True,True,645,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c,unknown,UNKNOWN,YES,0.62,YES,1.536236048,YES,2.88,YES,3.46,YES,YES,YES,YES,YES,3.81,Terminate,Linear,1,1,2,False,False,True,False,True,32,C,loop,
svcomp_ex1-alloca.c,failed,ERROR,FAILED,0.25,FAILED,0.43419981,MAYBE,3.89,MAYBE,4.11,YES,YES,YES,YES,YES,4.42,Unknown,Linear,1,1,1,False,False,True,False,True,23,C,loop,
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c,failed,ERROR,MAYBE,0.3,YES,3.205206871,TIMEOUT,300.04,MAYBE,274.98,YES,YES,YES,YES,YES,4.77,Failed,Nested,2,2,2,False,False,True,False,True,33,C,loop,
BallRajamani-SPIN2000-Fig1_false-unreach-call.c,,,YES,0.19,FAILED,0.441753626,MAYBE,1.85,FAILED,1.9,YES,MAYBE,MAYBE,YES,YES,5.78,Unknown,,0,0,0,False,False,True,False,False,33,C,recur,non-tail
kbfiltr_simpl1_true-unreach-call_true-termination.cil.c,,,MAYBE,0.74,YES,0.484479666,YES,2.66,YES,2.43,timeout,YES,timeout,YES,YES,4.16,Terminate,,0,0,0,False,False,True,False,True,768,C,unknown,
ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c,unknown,UNKNOWN,MAYBE,0.68,YES,2.065848589,MAYBE,4.43,YES,6.37,YES,YES,YES,YES,YES,3.86,Unknown,Linear,1,1,2,False,False,True,False,True,29,C,loop,
PastaA9.c,unknown,UNKNOWN,MAYBE,0.38,YES,1.120831013,MAYBE,2.25,MAYBE,2.42,YES,YES,YES,YES,YES,3.86,Unknown,Linear,1,1,2,False,False,True,False,False,20,C,loop,
rec_counter1.c,Terminate,TERMINATE,YES,0.28,FAILED,0.324733019,MAYBE,2.16,MAYBE,2.26,YES,YES,YES,error,YES,4.87,Terminate,Linear,1,1,1,False,False,True,False,False,22,C,loop,non-tail
svcomp_c.02-alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.346795082,MAYBE,3.62,MAYBE,3.65,YES,timeout,YES,YES,TIMEOUT,300.01,Unknown,Nested,2,2,2,False,False,True,False,True,27,C,loop,
svcomp_Ackermann01_true-unreach-call_modified_modified.c,failed,ERROR,YES,0.34,FAILED,0.445633173,MAYBE,2.17,FAILED,2.27,YES,timeout,YES,error,TIMEOUT,300.07,Unknown,,0,0,0,False,False,True,False,False,40,C,recur,non-tail
svcomp_b.09-no-inv_assume-alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.474568605,MAYBE,3.85,MAYBE,4.11,YES,YES,YES,YES,MAYBE,36.27,Unknown,Linear,1,1,1,False,False,True,False,True,30,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c,failed,ERROR,YES,0.26,YES,1.950015068,YES,2.94,YES,3.4,YES,YES,YES,YES,YES,3.72,Terminate,Linear,1,1,2,True,False,True,False,False,31,C,loop,
diskperf_simpl1_true-unreach-call_true-termination.cil.c,unknown,UNKNOWN,MAYBE,0.85,FAILED,300.0,YES,9.89,YES,16.05,timeout,timeout,timeout,YES,YES,8.6,Terminate,Linear,1,1,0,False,True,True,False,True,1453,C,loop,
svcomp_diff_alloca.c,failed,ERROR,FAILED,0.25,FAILED,0.344698906,MAYBE,4.07,MAYBE,4.16,MAYBE,MAYBE,timeout,YES,YES,5.46,Unknown,Nested,2,2,5,False,False,True,True,True,45,C,loop,
svcomp_strreplace_alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.470927238,MAYBE,2.82,MAYBE,3.18,YES,MAYBE,YES,timeout,MAYBE,9.22,Unknown,Linear,1,1,1,False,False,True,True,True,27,C,loop,
svcomp_a.10-alloca.c,unknown,UNKNOWN,FAILED,0.19,FAILED,0.479483843,MAYBE,3.37,MAYBE,3.25,timeout,YES,timeout,YES,YES,19.89,Unknown,Linear,1,1,2,False,False,True,False,True,26,C,loop,
Gothenburg_v2_true-termination.c,unknown,UNKNOWN,YES,0.27,YES,2.499520063,YES,3.27,YES,3.72,timeout,YES,timeout,YES,MAYBE,8.62,Terminate,Linear,1,1,2,False,False,False,False,True,25,C,loop,
PodelskiRybalchenko-VMCAI2004-Ex1_true-termination.c,failed,ERROR,MAYBE,4.26,YES,3.321290493,YES,3.24,YES,3.83,YES,YES,YES,YES,YES,4.47,Terminate,Linear,1,1,2,False,False,True,False,False,32,C,loop,
svcomp_b.09-no-inv_assume.c,failed,ERROR,MAYBE,5.88,MAYBE,8.018001556,YES,2.81,YES,3.55,YES,YES,YES,YES,YES,5.22,Terminate,Linear,1,1,1,False,False,True,False,False,23,C,loop,
svcomp_array03_alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.465049028,MAYBE,3.28,MAYBE,3.32,YES,MAYBE,YES,YES,ERROR,83.87,Unknown,Multiple,2,1,3,False,False,True,True,True,31,C,loop,
svcomp_java_Nested-alloca.c,Terminate,TERMINATE,FAILED,0.24,FAILED,0.463532209,MAYBE,4.48,MAYBE,4.75,YES,timeout,YES,YES,YES,17.38,Terminate,Nested,2,2,2,False,False,True,False,True,16,C,loop,
svcomp_bubblesort_alloca.c,failed,ERROR,FAILED,0.19,FAILED,0.47028923,MAYBE,3.98,MAYBE,4.37,MAYBE,MAYBE,timeout,YES,YES,5.56,Unknown,Nested,2,2,2,False,False,True,True,True,28,C,loop,
Et3_true.c,,,YES,0.19,FAILED,0.448193789,MAYBE,1.73,FAILED,1.8,YES,YES,YES,YES,YES,4.09,Unknown,,0,0,0,False,False,True,False,False,43,C,recur,non-tail
PastaB6.c,Terminate,TERMINATE,YES,0.15,YES,1.665953636,YES,2.89,YES,3.37,YES,YES,YES,YES,YES,3.68,Terminate,Linear,1,1,2,False,False,True,False,True,17,C,loop,
svcomp_cstrncmp_true-termination.c,failed,ERROR,YES,0.54,FAILED,0.466961145,MAYBE,3.57,MAYBE,3.75,YES,MAYBE,YES,YES,YES,4.31,Unknown,Linear,1,1,3,False,False,True,True,True,48,C,loop,
LeeJonesBen-Amram-POPL2001-Ex2_true-termination.c,,,FAILED,300.03,FAILED,0.446432352,MAYBE,1.9,FAILED,1.89,YES,YES,YES,error,YES,4.51,Unknown,,0,0,0,False,False,True,False,True,36,C,recur,non-tail
svcomp_a.06.c,failed,ERROR,FAILED,300.11,YES,1.411432266,YES,2.3,YES,3.48,YES,YES,YES,YES,YES,3.84,Terminate,Linear,1,1,3,False,False,True,False,False,16,C,loop,
Pure3Phase_true-termination.c,failed,ERROR,MAYBE,1.47,MAYBE,85.11010146,FAILED,299.51,MAYBE,293.9,YES,timeout,YES,YES,YES,4.56,Failed,Linear,1,1,1,False,False,True,False,False,30,C,loop,
LeeJonesBen-Amram-POPL2001-Ex3_true-termination.c,,,YES,0.28,FAILED,0.32026124,MAYBE,2.13,FAILED,2.15,YES,timeout,YES,error,ERROR,283.11,Unknown,,0,0,0,False,False,True,False,True,31,C,recur,non-tail
ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c,failed,ERROR,MAYBE,0.54,YES,1.541995525,MAYBE,4.9,MAYBE,6.69,YES,YES,YES,YES,YES,3.67,Unknown,Linear,1,1,1,False,False,True,False,False,28,C,loop,
svcomp_cstrcspn_true_alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.476526022,MAYBE,4.03,MAYBE,4.23,YES,MAYBE,YES,timeout,MAYBE,12.3,Unknown,Nested,2,2,3,False,False,True,True,True,41,C,loop,
svcomp_KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-alloca.c,Terminate,TERMINATE,FAILED,0.24,FAILED,0.485980511,MAYBE,3.25,MAYBE,3.38,timeout,YES,timeout,YES,YES,6.38,Terminate,Linear,1,1,1,False,False,True,False,True,22,C,loop,
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c,unknown,UNKNOWN,YES,0.3,YES,3.328688145,YES,3.73,YES,4.74,YES,YES,YES,YES,YES,5.06,Terminate,Nested,2,2,3,False,False,True,False,True,22,C,loop,
svcomp_cstrcpy_alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.464443445,MAYBE,3.36,MAYBE,3.43,YES,MAYBE,YES,timeout,MAYBE,9.52,Unknown,Linear,1,1,2,False,False,True,True,True,32,C,loop,
PastaA5.c,Terminate,TERMINATE,MAYBE,0.25,YES,1.00104022,YES,2.69,YES,3.05,YES,YES,YES,YES,YES,3.71,Terminate,Linear,1,1,2,False,False,True,False,False,16,C,loop,
svcomp_ChenFlurMukhopadhyay-2012SAS-Fig1_true-alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.347530365,MAYBE,3.63,MAYBE,3.96,YES,YES,YES,timeout,YES,4.18,Unknown,Linear,1,1,1,False,False,True,False,True,18,C,loop,
BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c,failed,ERROR,MAYBE,0.58,MAYBE,5.377459526,YES,8.34,YES,4.44,YES,YES,YES,YES,YES,5.55,Terminate,Nested,2,2,3,False,False,True,False,False,31,C,loop,
svcomp_cstrpbrk_true-termination.c,Terminate,TERMINATE,MAYBE,0.59,FAILED,0.344676256,MAYBE,3.14,MAYBE,3.24,YES,MAYBE,YES,timeout,MAYBE,11.1,Terminate,Nested,2,2,3,False,False,True,True,True,45,C,loop,
svcomp_b.03-no-inv_assume.c,unknown,UNKNOWN,MAYBE,0.33,YES,1.051329613,MAYBE,2.39,MAYBE,2.4,YES,YES,YES,YES,YES,3.84,Unknown,Linear,1,1,2,False,False,True,False,False,18,C,loop,
ex3.c,,,YES,0.19,FAILED,0.320417643,MAYBE,2.18,FAILED,2.19,YES,timeout,YES,error,YES,11.05,Unknown,,0,0,0,False,False,True,False,False,20,C,recur,non-tail
PastaB1.c,Terminate,TERMINATE,YES,0.13,YES,1.380345106,YES,2.91,YES,3.33,YES,YES,YES,YES,YES,3.82,Terminate,Linear,1,1,2,False,False,True,False,False,16,C,loop,
svcomp_GulwaniJainKoskinen-2009PLDI-Fig1_true-alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.482250452,MAYBE,3.3,MAYBE,3.82,YES,YES,YES,timeout,TIMEOUT,300.04,Unknown,Linear,1,1,3,False,False,True,False,True,23,C,loop,
svcomp_a.10.c,unknown,UNKNOWN,YES,0.2,YES,9.780079842,YES,3.22,YES,4.14,YES,YES,timeout,YES,YES,4.84,Terminate,Linear,1,1,2,False,False,True,False,False,19,C,loop,
PastaB14.c,unknown,UNKNOWN,YES,0.41,YES,2.30221653,YES,3.36,YES,4.03,YES,YES,YES,YES,YES,3.78,Terminate,Nested,2,2,2,False,False,True,False,True,19,C,loop,
LeeJonesBen-Amram-POPL2001-Ex5_true-termination.c,,,YES,0.17,FAILED,0.436649084,MAYBE,1.87,FAILED,1.87,YES,YES,YES,YES,MAYBE,14.99,Unknown,,0,0,0,False,False,True,False,True,32,C,recur,tail
NoriSharma-FSE2013-Fig8_true-termination.c,failed,ERROR,MAYBE,6.44,YES,2.986873627,YES,4.39,MAYBE,269.47,YES,YES,YES,YES,YES,4.26,Terminate,Linear,1,1,2,False,False,True,False,False,33,C,loop,
AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c,failed,ERROR,YES,0.42,YES,1.362347126,YES,3.41,YES,3.79,YES,YES,YES,YES,YES,3.92,Terminate,Linear,1,1,3,False,False,True,False,True,23,C,loop,
svcomp_cstrncmp_true_alloca.c,failed,ERROR,FAILED,0.25,FAILED,0.356217623,MAYBE,3.66,MAYBE,3.84,YES,MAYBE,YES,YES,YES,4.41,Unknown,Linear,1,1,3,False,False,True,True,True,45,C,loop,
svcomp_LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1_true-alloca.c,failed,ERROR,FAILED,0.19,FAILED,0.466651201,MAYBE,4.35,MAYBE,4.21,YES,timeout,YES,timeout,YES,93.81,Unknown,Nested,2,2,2,False,False,True,False,True,21,C,loop,
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c,unknown,UNKNOWN,YES,0.25,YES,1.5462327,MAYBE,4.71,MAYBE,6.13,YES,YES,YES,YES,YES,4.43,Unknown,Linear,1,1,1,False,False,True,False,True,28,C,loop,
svcomp_Urban-2013WST-Fig2_true-alloca.c,unknown,UNKNOWN,FAILED,0.23,FAILED,0.471933126,MAYBE,4.17,MAYBE,4.47,YES,YES,YES,YES,YES,5.36,Unknown,Nested,2,2,2,False,False,True,False,True,13,C,loop,
KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1_true-termination.c,unknown,UNKNOWN,MAYBE,0.2,NO,5.678646803,MAYBE,9.04,MAYBE,11.72,timeout,YES,timeout,YES,YES,7.16,Unknown,Linear,1,1,1,False,False,True,False,False,30,C,loop,
svcomp_HarrisLalNoriRajamani-2010SAS-Fig1_true-alloca.c,failed,"ERROR,UNKNOWN",FAILED,0.19,FAILED,0.469980001,MAYBE,2.1,MAYBE,2.19,YES,timeout,YES,YES,YES,7.3,Unknown,Multiple,2,1,4,False,False,True,False,True,43,C,loop,
svcomp_b.11.c,failed,ERROR,YES,0.27,YES,3.354673624,YES,3.24,YES,3.9,YES,YES,timeout,YES,YES,4.07,Terminate,Linear,1,1,2,False,False,True,False,False,23,C,loop,
nondet_ll_traverse-ptrdiff.c,Terminate,TERMINATE,MAYBE,1.15,FAILED,0.343068838,MAYBE,4.4,MAYBE,4.7,YES,MAYBE,YES,error,MAYBE,3.1,Terminate,Multiple,2,1,3,False,False,True,False,True,43,C,loop,
desc_ll_search_mod.c,failed,ERROR,MAYBE,1.49,FAILED,0.345898867,MAYBE,4.09,MAYBE,3.95,YES,timeout,YES,timeout,ERROR,98.44,Unknown,Multiple,2,1,5,False,False,True,False,True,39,C,loop,
svcomp_ex3b.c,unknown,UNKNOWN,MAYBE,0.8,MAYBE,3.126955032,NO,2.06,MAYBE,281.79,YES,MAYBE,YES,YES,MAYBE,6.98,Unknown,Linear,1,1,1,False,False,True,False,True,15,C,loop,
NestedRecursion_2c_true-termination.c,,,YES,0.18,FAILED,0.438066244,MAYBE,1.7,FAILED,1.73,YES,timeout,YES,error,TIMEOUT,300.02,Unknown,,0,0,0,False,False,True,False,False,22,C,recur,non-tail
svcomp_ex3b-alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.346635342,MAYBE,3.91,MAYBE,3.91,YES,MAYBE,YES,YES,MAYBE,9.29,Unknown,Linear,1,1,1,False,False,True,False,True,22,C,loop,
PastaB17.c,Terminate,TERMINATE,YES,0.32,YES,2.484492064,YES,2.5,YES,3.34,YES,YES,YES,YES,YES,4.1,Terminate,Nested,2,2,3,False,False,True,False,False,21,C,loop,
svcomp_easySum-alloca.c,unknown,UNKNOWN,FAILED,0.2,FAILED,0.471258402,MAYBE,3.07,MAYBE,2.8,YES,YES,YES,YES,YES,4.0,Unknown,Linear,1,1,2,False,False,True,False,True,20,C,loop,
svcomp_a.09_assume.c,unknown,UNKNOWN,MAYBE,0.36,YES,1.265568733,MAYBE,2.96,MAYBE,3.2,YES,YES,YES,YES,YES,3.71,Unknown,Linear,1,1,2,False,False,True,False,False,21,C,loop,
NestedRecursion_1c_true-termination.c,unknown,UNKNOWN,YES,0.25,FAILED,0.318423986,MAYBE,2.14,FAILED,2.22,YES,timeout,YES,error,YES,4.76,Unknown,,0,0,0,False,False,True,False,False,26,C,recur,non-tail
gcd01_true-unreach-call_true-termination.c,,,YES,0.26,FAILED,0.44483304,MAYBE,1.75,FAILED,1.74,YES,YES,YES,YES,YES,6.22,Unknown,,0,0,0,False,False,True,False,True,43,C,recur,non-tail
EvenOdd01_true-unreach-call_true-termination.c,,,FAILED,300.04,FAILED,0.435204506,MAYBE,2.17,FAILED,2.22,YES,timeout,YES,error,YES,5.09,Unknown,,0,0,0,False,False,True,False,False,49,C,recur,non-tail
ChenFlurMukhopadhyay-SAS2012-Ex2.21_true-termination.c,Terminate,TERMINATE,YES,0.23,YES,1.676303625,YES,3.03,YES,3.54,YES,YES,YES,YES,YES,3.87,Terminate,Linear,1,1,1,False,False,True,False,False,31,C,loop,
Parallel_true-termination.c,failed,ERROR,YES,0.17,YES,1.888111353,YES,2.42,YES,2.95,YES,YES,YES,YES,YES,3.8,Terminate,Linear,1,1,0,True,True,True,False,False,30,C,loop,
PastaA6.c,Terminate,TERMINATE,MAYBE,6.8,YES,1.904946804,YES,2.92,YES,3.98,YES,YES,YES,YES,YES,3.8,Terminate,Linear,1,1,3,False,False,True,False,False,19,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c,unknown,UNKNOWN,MAYBE,1.9,YES,2.070313215,YES,2.33,YES,2.87,YES,YES,YES,YES,YES,3.95,Terminate,Linear,1,1,2,False,False,True,False,False,30,C,loop,
Fibonacci01_true-unreach-call.c,,,YES,0.13,FAILED,0.444689512,MAYBE,2.15,FAILED,2.2,YES,timeout,YES,error,YES,7.8,Unknown,,0,0,0,False,False,True,False,False,38,C,recur,non-tail
